"","Provider.State","County","Provider.Name","WeeksofShortage_of_EP_by_Provider","WeeksofShortage_of_GL_by_Provider","WeeksofShortage_of_HS_by_Provider","WeeksofShortage_of_N95_by_Provider","WeeksofShortage_of_SM_by_Provider","WeeksofShortage_of_VT_by_Provider"
"31","AL","Escambia","WEST GATE VILLAGE",42,NA,NA,42,42,NA
"32","AL","Etowah","ATTALLA HEALTH AND REHAB",1,1,1,1,2,NA
"33","AL","Fayette","FAYETTE MEDICAL CENTER LONG TERM CARE UNIT",17,NA,2,33,33,NA
"34","AL","Franklin","BURNS NURSING HOME, INC.",1,1,1,41,2,NA
"35","AL","Franklin","GENERATIONS OF RED BAY, LLC",15,NA,13,16,15,NA
"36","AL","Franklin","RUSSELLVILLE HEALTH CARE INC",13,12,12,14,13,NA
"37","AL","Geneva","WIREGRASS REHABILITATION CENTER & NURSING HOME",8,1,1,12,10,NA
"38","AL","Hale","COLONIAL HAVEN CARE & REHABILITATION CENTER",30,28,24,41,29,NA
"39","AL","Henry","HENRY COUNTY HEALTH AND REHABILITATION FACILITY",1,1,1,1,1,NA
"40","AL","Houston","WESLEY PLACE ON HONEYSUCKLE",1,NA,NA,NA,NA,NA
"41","AL","Jackson","CUMBERLAND HEALTH AND REHAB",18,32,8,33,11,NA
"42","AL","Jefferson","BIRMINGHAM NURSING AND REHABILITATION CENTER EAST",11,1,1,13,NA,NA
"43","AL","Jefferson","BIRMINGHAM NURSING AND REHABILITATION CTR LLC",11,11,11,11,11,NA
"44","AL","Jefferson","CHERRY HILL REHABILITATION & HEALTHCARE CENTER",1,1,1,1,1,NA
"45","AL","Jefferson","EAST GLEN",13,8,1,15,15,NA
"46","AL","Jefferson","EASTVIEW REHABILITATION & HEALTHCARE CENTER",1,NA,NA,13,NA,NA
"47","AL","Jefferson","FAIR HAVEN",7,7,7,7,7,NA
"48","AL","Jefferson","GALLERIA WOODS SKILLED NURSING FACILITY",1,1,1,1,1,NA
"49","AL","Jefferson","GREENBRIAR AT THE ALTAMONT SKILLED NURSING FACILIT",1,1,1,1,1,NA
"50","AL","Jefferson","MAGNOLIA RIDGE",20,2,1,28,21,NA
"51","AL","Jefferson","MOUNT ROYAL TOWERS",3,NA,1,1,NA,NA
"52","AL","Jefferson","NORTH HILL NURSING AND REHABILITATION CTR, LLC",1,NA,1,18,NA,NA
"53","AL","Jefferson","OAK TRACE CARE & REHABILITATION CENTER",8,3,6,13,5,NA
"54","AL","Lauderdale","EL REPOSO NURSING FACILITY",17,NA,NA,20,1,NA
"55","AL","Lauderdale","FLORENCE NURSING AND REHABILITATION CTR,  LLC",21,14,18,24,10,NA
"56","AL","Lauderdale","GLENWOOD CENTER",20,4,3,27,21,NA
"57","AL","Lauderdale","LAUDERDALE CHRISTIAN NURSING HOME",1,1,2,1,2,NA
"58","AL","Lee","ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",2,NA,1,8,NA,NA
"59","AL","Lee","EAST ALABAMA MEDICAL CENTER SKILLED NURSING FACILI",17,11,20,12,17,NA
"60","AL","Lee","OAK PARK",28,NA,1,32,8,NA
"61","AL","Limestone","SENIOR REHAB & RECOVERY AT LIMESTONE HEALTH FACILI",3,NA,NA,1,2,NA
"62","AL","Lowndes","ORCHARD REHABILITATION & HEALTHCARE CENTER",15,14,16,18,16,NA
"63","AL","Madison","AHC MILLENIUM",3,7,14,NA,8,NA
"64","AL","Madison","MADISON MANOR NURSING HOME",25,NA,10,29,26,NA
"65","AL","Madison","REGENCY HEALTH CARE AND REHABILITATION CENTER",9,4,4,11,9,NA
"66","AL","Madison","SIGNATURE HEALTHCARE OF WHITESBURG GARDENS",1,1,1,1,1,NA
"67","AL","Madison","SOUTH HAMPTON NURSING & REHABILITATION CENTER",1,5,6,16,15,NA
"68","AL","Mobile","CROWNE HEALTH CARE OF CITRONELLE",20,12,12,18,14,NA
"69","AL","Mobile","KENSINGTON HEALTH AND REHABILITATION",2,NA,NA,NA,2,NA
"70","AL","Mobile","MOBILE NURSING AND REHABILITATION CENTER",1,NA,NA,20,1,NA
"71","AL","Mobile","SPRINGHILL MANOR NURSING HOME",23,27,22,23,23,NA
"72","AL","Mobile","SPRINGHILL SENIOR RESIDENCE",1,NA,NA,NA,1,NA
"73","AL","Monroe","ENGLEWOOD HEALTH CARE CENTER",11,18,17,12,12,NA
"74","AL","Montgomery","CRIMSON HEALTH AND REHAB, LLC",1,NA,NA,2,NA,NA
"75","AL","Montgomery","FATHER PURCELL MEMORIAL EXCEPTIONAL CHILDREN'S CTR",1,NA,NA,3,NA,NA
"76","AL","Montgomery","LONGLEAF HEALTH AND REHAB, LLC",10,9,8,10,9,NA
"77","AL","Montgomery","MONTGOMERY CHILDREN'S SPECIALTY CENTER",1,4,1,8,8,NA
"78","AL","Morgan","FALKVILLE HEALTH CARE CENTER",9,NA,NA,7,7,NA
"79","AL","Morgan","RIVER CITY CENTER",20,6,1,27,20,NA
"80","AL","Perry","PERRY COUNTY NURSING HOME",19,17,24,19,18,NA
"81","AL","Pike","TROY HEALTH & REHABILITATION CENTER",10,8,9,11,10,NA
"82","AL","Randolph","ROANOKE REHABILITATION & HEALTHCARE CENTER",5,1,NA,18,7,NA
"83","AL","Randolph","TRAYLOR RETIREMENT COMMUNITY",16,NA,15,16,16,NA
"84","AL","Russell","PARKWOOD HEALTH CARE FACILITY",24,1,7,28,34,NA
"85","AL","Shelby","AHAVA HEALTHCARE OF ALABASTER",1,1,1,1,1,NA
"86","AL","St. Clair","HEALTH CARE INC",1,1,1,9,1,NA
"87","AL","Talladega","SYLACAUGA HEALTH AND REHAB SERVICES",6,NA,1,6,6,NA
"88","AL","Talladega","TALLADEGA HEALTHCARE CENTER, INC",1,1,1,1,1,NA
"89","AL","Tallapoosa","CHAPMAN HEALTHCARE CENTER, INC",2,3,2,2,2,NA
"90","AL","Tuscaloosa","FOREST MANOR HEALTH AND REHAB",1,5,NA,9,4,NA
"91","AL","Washington","WASHINGTON COUNTY NURSING HOME",11,2,2,11,2,NA
"92","AL","Wilcox","CAMDEN NURSING FACILITY INC.",3,2,2,13,2,NA
"93","AL","Winston","HALEYVILLE HEALTH CARE CENTER",7,NA,NA,15,7,NA
"94","AR","Ashley","STONEGATE VILLA HEALTH AND REHABILITATION, LLC",1,1,1,1,1,NA
"95","AR","Benton","SILOAM HEALTHCARE, LLC",1,1,1,1,1,NA
"96","AR","Benton","THE WATERS OF ROGERS, LLC",1,1,2,1,1,NA
"97","AR","Boone","HILLCREST HOME",3,NA,NA,3,1,NA
"98","AR","Boone","SOMERSET SENIOR LIVING AT MOUNT VISTA",5,24,24,8,20,NA
"99","AR","Carroll","BRIGHTON RIDGE",2,1,1,1,1,NA
"100","AR","Chicot","LAKE VILLAGE REHABILITATION AND CARE CENTER",14,11,11,14,14,NA
"101","AR","Clay","GENERAL BAPTIST NURSING HOME OF PIGGOTT",1,1,1,4,3,NA
"102","AR","Conway","BROOKRIDGE COVE REHABILITATION AND CARE  CENTER",1,NA,NA,3,NA,NA
"103","AR","Conway","RIVER CHASE REHABILITATION AND CARE CENTER",3,1,1,6,2,NA
"104","AR","Crawford","ALMA HEALTHCARE AND REHABILITATION CENTER",7,NA,NA,7,6,NA
"105","AR","Crawford","CRAWFORD HEALTHCARE AND REHABILITATION CENTER",7,NA,NA,1,NA,NA
"106","AR","Crawford","VALLEY SPRINGS REHABILITATION AND HEALTH CENTER",1,6,1,13,11,NA
"107","AR","Cross","RIVER RIDGE REHABILITATION AND CARE CENTER",2,2,NA,6,6,NA
"108","AR","Desha","SOMERSET SENIOR LIVING AT MCGEHEE",1,1,1,1,1,NA
"109","AR","Drew","BELLE VIEW ESTATES REHABILITATION AND CARE CENTER",8,2,NA,7,NA,NA
"110","AR","Faulkner","CONWAY HEALTHCARE AND REHABILITATION CENTER",2,1,NA,16,15,NA
"111","AR","Faulkner","ST ANDREWS HEALTHCARE",5,NA,NA,6,NA,NA
"112","AR","Franklin","OZARK NURSING HOME INC",3,1,1,13,14,NA
"113","AR","Garland","HOT SPRINGS NURSING AND REHABILITATION- A WATERS C",1,1,1,7,1,NA
"114","AR","Garland","QUAPAW CARE AND REHABILITATION CENTER LLC",1,2,1,3,1,NA
"115","AR","Garland","SOMERSET SENIOR LIVING AT CANYON SPRINGS",1,2,NA,2,2,NA
"116","AR","Hempstead","HEATHER MANOR NURSING AND REHABILITATION CENTER",1,1,1,1,1,NA
"117","AR","Hot Spring","ARBOR OAKS HEALTHCARE AND REHABILITATION CENTER",1,1,NA,1,NA,NA
"118","AR","Hot Spring","HAPPY VALLEY NURSING & REHABILITATION",2,NA,NA,15,NA,NA
"119","AR","Izard","WHITE RIVER HEALTHCARE",1,NA,NA,1,NA,NA
"120","AR","Jefferson","ARKANSAS CONVALESCENT CENTER",3,NA,NA,NA,2,NA
"121","AR","Jefferson","THE VILLAGES OF GENERAL BAPTIST HEALTH CARE WEST",41,41,41,41,41,NA
"122","AR","Lawrence","LAWRENCE HALL HEALTH & REHABILITATION",1,NA,5,NA,NA,NA
"123","AR","Lonoke","BARNES HEALTHCARE",3,NA,NA,2,1,NA
"124","AR","Lonoke","CHAMBERS NURSING HOME CENTER, INC",3,4,1,3,3,NA
"125","AR","Mississippi","GOSNELL HEALTH AND REHAB",2,2,2,2,2,NA
"126","AR","Monroe","CLA-CLIF NURSING AND REHAB CENTER, INC",3,3,NA,15,NA,NA
"127","AR","Montgomery","MONTGOMERY COUNTY NURSING HOME",1,1,1,1,1,NA
"128","AR","Phillips","CRESTPARK HELENA, LLC",4,3,5,3,2,NA
"129","AR","Pike","MURFREESBORO REHAB AND NURSING, INC",1,NA,NA,NA,NA,NA
"130","AR","Poinsett","WOODBRIAR NURSING HOME",2,NA,NA,NA,NA,NA
"131","AR","Prairie","DES ARC NURSING AND REHABILITATION CENTER",7,1,NA,11,13,NA
"132","AR","Prairie","MAPLE HEALTHCARE",1,NA,2,4,NA,NA
"133","AR","Pulaski","ALLAY HEALTH AND REHAB",1,1,1,2,1,NA
"134","AR","Pulaski","PRESBYTERIAN VILLAGE, INC",4,NA,NA,6,NA,NA
"135","AR","Pulaski","SHERWOOD NURSING & REHABILITATION CENTER, INC",5,NA,NA,22,NA,NA
"136","AR","Pulaski","SOMERSET SENIOR LIVING AT PREMIER",2,2,2,2,2,NA
"137","AR","Pulaski","THE GREEN HOUSE COTTAGES OF POPLAR GROVE",5,5,4,7,6,NA
"138","AR","Pulaski","THE WATERS OF CUMBERLAND, LLC",1,NA,NA,9,NA,NA
"139","AR","Pulaski","THE WATERS OF NORTH LITTLE ROCK, LLC",2,2,2,2,2,NA
"140","AR","Pulaski","THE WATERS OF WEST DIXON, LLC",4,3,2,6,2,NA
"141","AR","Pulaski","THE WATERS OF WOODLAND HILLS, LLC",2,2,3,5,2,NA
"142","AR","Pulaski","WOODLAND HILLS HEALTHCARE AND REHABILITATION",2,2,1,1,1,NA
"143","AR","Randolph","POCAHONTAS HEALTHCARE AND REHABILITATION CENTER",2,NA,NA,2,3,NA
"144","AR","Saline","SOUTHERN TRACE REHABILITATION AND CARE CENTER",9,1,1,15,5,NA
"145","AR","Searcy","HIGHLAND COURT, A REHABILITATION AND RESIDENT CARE",1,3,NA,9,2,NA
"146","AR","Sebastian","FIANNA HILLS NURSING AND REHABILITATION CENTER",1,1,1,1,1,NA
"147","AR","Sebastian","PINK BUD HOME FOR THE GOLDEN YEARS",5,NA,NA,15,5,NA
"148","AR","Sevier","BEAR CREEK HEALTHCARE LLC",1,1,1,5,1,NA
"149","AR","Sharp","CAVE CITY NURSING HOME INC",4,NA,NA,6,NA,NA
"150","AR","Van Buren","INDIAN ROCK VILLAGE HEALTH CENTER",6,1,10,NA,11,NA
"151","AR","Yell","MITCHELL'S NURSING HOME, INC",2,2,3,5,2,NA
"152","AZ","Apache","CHINLE NURSING HOME",1,1,NA,NA,NA,NA
"153","AZ","Cochise","LIFE CARE CENTER OF SIERRA VISTA",1,2,17,16,NA,NA
"154","AZ","Coconino","ASPIRE TRANSITIONAL CARE",1,1,1,1,1,NA
"155","AZ","Gila","HERITAGE HEALTH CARE CENTER",2,NA,3,3,3,NA
"156","AZ","Gila","PAYSON CARE CENTER",25,28,27,26,27,NA
"157","AZ","Gila","RIM COUNTRY HEALTH & RETIREMENT COMMUNITY",5,4,4,12,4,NA
"158","AZ","Maricopa","ADVANCED HEALTHCARE OF MESA",26,26,25,26,26,NA
"159","AZ","Maricopa","ALLEGIANT HEALTHCARE OF MESA",6,3,3,6,3,1
"160","AZ","Maricopa","ALLEGIANT HEALTHCARE OF PHOENIX, LLC",2,1,1,NA,NA,1
"161","AZ","Maricopa","BANNER BOSWELL REHABILITATION CENTER",16,NA,16,16,NA,NA
"162","AZ","Maricopa","BEATITUDES CAMPUS",1,NA,NA,NA,NA,NA
"163","AZ","Maricopa","DESERT COVE NURSING CENTER",8,NA,3,6,NA,NA
"164","AZ","Maricopa","ESTRELLA CENTER",20,3,5,27,20,NA
"165","AZ","Maricopa","FREEDOM PLAZA CARE CENTER",4,NA,NA,NA,NA,NA
"166","AZ","Maricopa","IMMANUEL CAMPUS OF CARE",2,NA,NA,16,1,NA
"167","AZ","Maricopa","LA ESTANCIA NURSING AND REHABILITATION CENTER",20,5,NA,24,20,NA
"168","AZ","Maricopa","LIFE CARE CENTER OF NORTH GLENDALE",10,1,6,41,10,NA
"169","AZ","Maricopa","LIFE CARE CENTER OF SCOTTSDALE",11,1,3,17,1,NA
"170","AZ","Maricopa","LIFESTREAM AT COOK HEALTH CARE",6,NA,NA,15,NA,NA
"171","AZ","Maricopa","LIFESTREAM AT SUN RIDGE",1,1,1,1,1,NA
"172","AZ","Maricopa","MARAVILLA CARE CENTER",1,NA,NA,7,1,NA
"173","AZ","Maricopa","MESA CHRISTIAN HEALTH AND REHABILITATION CENTER",20,NA,NA,28,20,NA
"174","AZ","Maricopa","MI CASA NURSING CENTER",14,NA,NA,25,9,NA
"175","AZ","Maricopa","PROVIDENCE PLACE AT GLENCROFT",1,4,1,1,1,NA
"176","AZ","Maricopa","RIDGECREST HEALTHCARE",1,NA,1,3,NA,NA
"177","AZ","Maricopa","RIO VISTA POST ACUTE AND REHABILITATION",3,2,NA,12,3,NA
"178","AZ","Maricopa","SANTE OF CHANDLER",6,30,9,42,11,NA
"179","AZ","Maricopa","SANTE OF MESA",41,40,40,42,40,NA
"180","AZ","Maricopa","SANTE OF NORTH SCOTTSDALE",3,6,NA,37,6,NA
"181","AZ","Maricopa","SANTE OF SURPRISE",20,16,1,16,2,NA
"182","AZ","Maricopa","SCOTTSDALE VILLAGE SQUARE",1,1,7,7,NA,NA
"183","AZ","Maricopa","SIERRA WINDS",1,1,1,1,1,NA
"184","AZ","Maricopa","SUN CITY HEALTH AND REHABILITATION CENTER",20,NA,NA,25,20,NA
"185","AZ","Maricopa","SUN HEALTH GRANDVIEW CARE CENTER",1,1,1,1,1,NA
"186","AZ","Maricopa","SUN WEST CHOICE HEALTHCARE & REHAB",25,NA,NA,29,NA,NA
"187","AZ","Maricopa","THE CENTER AT VAL VISTA, LLC",2,NA,NA,NA,NA,NA
"188","AZ","Maricopa","THE GARDENS OF SCOTTSDALE",1,NA,NA,3,NA,NA
"189","AZ","Maricopa","WELLSPRINGS THERAPY CENTER OF GILBERT",16,11,3,42,42,NA
"190","AZ","Maricopa","WELLSPRINGS THERAPY CENTER OF PHOENIX",26,9,1,26,26,NA
"191","AZ","Pima","BROOKDALE SANTA CATALINA",1,1,2,1,1,NA
"192","AZ","Pima","DEVON GABLES REHABILITATION CENTER",42,NA,NA,42,27,NA
"193","AZ","Pima","FOOTHILLS REHABILITATION CENTER",20,14,13,22,23,11
"194","AZ","Pima","SANTA RITA NURSING & REHABILITATION CENTER",22,26,19,12,12,NA
"195","AZ","Pima","THE CENTER AT TUCSON",1,1,1,1,1,NA
"196","AZ","Pima","THE SPRINGS AT THE HACIENDA BLDG 6",4,4,4,4,4,NA
"197","AZ","Pima","VILLA MARIA CARE CENTER",2,NA,NA,NA,1,NA
"198","AZ","Yavapai","GOOD SAMARITAN SOCIETY-PRESCOTT VALLEY",1,NA,NA,NA,NA,NA
"199","AZ","Yavapai","PRESCOTT NURSING AND REHABILITATION CENTER",1,4,2,36,34,NA
"200","CA","Alameda","BAY VIEW REHABILITATION HOSPITAL, LLC",11,16,18,17,14,NA
"201","CA","Alameda","BAYWOOD COURT HEALTH CENTER",5,10,6,6,6,NA
"202","CA","Alameda","DRIFTWOOD HEALTHCARE CENTER - HAYWARD",26,25,26,24,25,1
"203","CA","Alameda","ELMWOOD CARE CENTER",9,9,9,9,9,NA
"204","CA","Alameda","EXCELL HEALTH CARE CENTER",3,3,3,3,3,NA
"205","CA","Alameda","FREMONT HEALTHCARE CENTER",8,15,11,16,16,NA
"206","CA","Alameda","HAYWARD CONVALESCENT HOSPITAL",7,3,6,8,5,NA
"207","CA","Alameda","MCCLURE POST ACUTE",10,10,9,10,10,NA
"208","CA","Alameda","MEDICAL HILL HEALTHCARE CENTER",1,2,1,1,1,NA
"209","CA","Alameda","NILES CANYON POST ACUTE",10,9,9,10,9,NA
"210","CA","Alameda","PARKVIEW HEALTHCARE CENTER",7,8,8,11,8,NA
"211","CA","Alameda","PIEDMONT GARDENS HEALTH FACILITY",4,9,NA,10,NA,NA
"212","CA","Alameda","PRINCETON MANOR HEALTHCARE CENTER, LLC",1,1,1,1,1,NA
"213","CA","Alameda","REDWOOD CONVALESCENT HOSPITAL, INC",24,4,23,23,23,NA
"214","CA","Alameda","ST JOHN KRONSTADT CONVALESCENT CENTER",8,1,NA,7,NA,NA
"215","CA","Alameda","ST PATRICK'S POST ACUTE",4,4,4,4,4,NA
"216","CA","Alameda","THE REHABILITATION CENTER OF OAKLAND",2,10,4,2,6,NA
"217","CA","Alameda","WE CARE SKILLED NURSING FACILITY",2,4,2,2,2,NA
"218","CA","Alameda","WINDSOR COUNTRY DRIVE CARE CENTER",1,1,2,1,1,NA
"219","CA","Alameda","WINDSOR GARDENS CARE CENTER OF HAYWARD",1,1,1,1,1,NA
"220","CA","Butte","ARBOR POST ACUTE",2,2,1,1,1,NA
"221","CA","Butte","RIVERSIDE CONVALESCENT HOSPITAL",3,1,NA,6,1,NA
"222","CA","Butte","WINDSOR CHICO CREEK CARE AND REHAB CENTER",1,NA,NA,NA,NA,NA
"223","CA","Contra Costa","ANTIOCH CONVALESCENT HOSPITAL",3,1,NA,NA,NA,NA
"224","CA","Contra Costa","DANVILLE POST-ACUTE REHAB",3,3,3,13,3,NA
"225","CA","Contra Costa","DIAMOND RIDGE HEALTHCARE CENTER",3,3,3,3,3,NA
"226","CA","Contra Costa","LA CASA VIA TRANSITIONAL CARE CENTER",2,NA,NA,3,2,NA
"227","CA","Contra Costa","LONE TREE CONVALESCENT HOSPITAL",3,1,NA,NA,NA,NA
"228","CA","Contra Costa","ORINDA CARE CENTER, LLC",20,20,20,20,20,NA
"229","CA","Contra Costa","PITTSBURG SKILLED NURSING CENTER",7,7,8,5,6,NA
"230","CA","Contra Costa","PLEASANT HILL POST ACUTE",1,2,1,1,1,NA
"231","CA","Contra Costa","RICHMOND POST ACUTE CARE",16,16,16,16,16,NA
"232","CA","Contra Costa","SAN MIGUEL VILLA",5,4,4,5,4,NA
"233","CA","Contra Costa","SAN PABLO HEALTHCARE & WELLNESS CENTER",2,NA,NA,2,NA,NA
"234","CA","Contra Costa","SHIELDS RICHMOND NURSING CENTER",1,NA,NA,4,NA,NA
"235","CA","Contra Costa","STONEBROOK HEALTHCARE CENTER",2,2,5,11,4,NA
"236","CA","Contra Costa","TAMPICO TERRACE CARE CENTER",1,1,NA,8,NA,NA
"237","CA","Contra Costa","WILLOW PASS HEALTHCARE CENTER",12,9,9,13,11,NA
"238","CA","Contra Costa","WINDSOR MANOR REHABILITATION CENTER",24,30,27,15,15,NA
"239","CA","Contra Costa","WINDSOR ROSEWOOD CARE CENTER",1,1,2,2,2,2
"240","CA","Fresno","DYCORA TRANSITIONAL HEALTH-MANCHESTER",31,32,29,26,28,NA
"241","CA","Fresno","DYCORA TRANSITIONAL HEALTH - CLOVIS",10,1,7,5,NA,NA
"242","CA","Fresno","FRESNO POSTACUTE CARE",2,NA,NA,NA,NA,NA
"243","CA","Fresno","SUNNYSIDE CONV. HOSPITAL",11,11,11,17,11,NA
"244","CA","Fresno","WILLOW CREEK HEALTHCARE CENTER",3,2,1,4,1,NA
"245","CA","Humboldt","EUREKA REHABILITATION & WELLNESS CENTER, LP",3,NA,NA,3,2,NA
"246","CA","Humboldt","GRANADA REHABILITATION & WELLNESS CENTER, LP",4,5,4,4,4,NA
"247","CA","Imperial","VALLEY CONVALESCENT CENTER",3,NA,1,2,3,NA
"248","CA","Kern","DELANO DISTRICT SKILLED NURSING FACILITY",1,NA,NA,2,NA,NA
"249","CA","Kern","KERN RIVER TRANSITIONAL CARE",3,1,NA,1,NA,NA
"250","CA","Kern","KINGSTON HEALTHCARE CENTER, LLC",1,1,1,1,1,NA
"251","CA","Kern","PARKVIEW JULIAN HELATHCARE CENTER",18,17,8,11,9,NA
"252","CA","Kern","THE REHABILITATION CENTER OF BAKERSFIELD",8,6,6,8,7,NA
"253","CA","Kern","VALLEY CONVALESCENT HOSPITAL",4,4,4,4,4,NA
"254","CA","Los Angeles","ALAMITOS BELMONT REHAB HOSPITA",1,22,17,NA,NA,NA
"255","CA","Los Angeles","ALL SAINTS HEALTHCARE SUBACUTE",5,5,5,5,5,NA
"256","CA","Los Angeles","ARBOR GLEN CARE CENTER",8,11,8,8,8,NA
"257","CA","Los Angeles","ARCADIA CARE CENTER",12,9,16,12,9,NA
"258","CA","Los Angeles","ASTORIA NURSING AND REHAB CENTER",5,5,5,5,5,NA
"259","CA","Los Angeles","ATHERTON BAPTIST HOME",13,NA,NA,1,NA,NA
"260","CA","Los Angeles","ATLANTIC MEMORIAL HEALTHCARE CENTER",1,2,2,1,NA,NA
"261","CA","Los Angeles","AUTUMN HILLS HEALTH CARE CENTER",41,42,42,33,41,NA
"262","CA","Los Angeles","BALDWIN GARDENS NURSING CENTER",3,NA,7,2,1,NA
"263","CA","Los Angeles","BRENTWOOD HEALTH CARE CENTER",1,1,1,1,1,NA
"264","CA","Los Angeles","BRIER OAK ON SUNSET",3,4,3,3,3,NA
"265","CA","Los Angeles","BUENA VENTURA  POST ACUTE CARE CENTER",4,14,3,4,3,NA
"266","CA","Los Angeles","BURLINGTON CONVALESCENT HOSPITAL",6,6,6,6,6,NA
"267","CA","Los Angeles","CAMELLIA GARDENS CARE CENTER",10,10,10,10,10,2
"268","CA","Los Angeles","CATERED MANOR NURSING CENTER",2,NA,5,NA,NA,NA
"269","CA","Los Angeles","CHANDLER CONVALESCENT HOSPITAL",42,42,42,42,42,NA
"270","CA","Los Angeles","CLAREMONT CARE CENTER",13,10,13,13,13,NA
"271","CA","Los Angeles","COLONIAL GARDENS NURSING HOME",7,7,7,7,7,NA
"272","CA","Los Angeles","COUNTRY VILLA BELMONT HEIGHTS",14,14,15,14,15,NA
"273","CA","Los Angeles","COUNTRY VILLA EAST NURSING CENTER",12,14,18,25,12,NA
"274","CA","Los Angeles","COUNTRY VILLA NORTH",1,1,1,1,1,NA
"275","CA","Los Angeles","COUNTRY VILLA REHABILITATION CENTER",2,1,NA,2,2,2
"276","CA","Los Angeles","COUNTRY VILLA WILSHIRE CONVALESCENT CENTER",1,1,1,1,1,NA
"277","CA","Los Angeles","COURTYARD CARE CENTER",6,16,11,3,3,NA
"278","CA","Los Angeles","CRENSHAW NURSING HOME",23,23,23,18,22,NA
"279","CA","Los Angeles","CULVER WEST HEALTH CENTER",2,2,2,2,2,NA
"280","CA","Los Angeles","EISENBERG VILLAGE",1,1,1,1,1,NA
"281","CA","Los Angeles","EL MONTE CONVALESCENT HOSPITAL",40,40,40,40,40,NA
"282","CA","Los Angeles","ENCINO HOSPITAL MEDICAL CENTER D/P SNF",1,1,7,1,1,NA
"283","CA","Los Angeles","FIDELITY HEALTH CARE",2,2,2,31,2,NA
"284","CA","Los Angeles","FLOWER VILLA, INC",6,6,6,6,6,NA
"285","CA","Los Angeles","FOUR SEASONS HEALTHCARE & WELLNESS CENTER, LP",11,11,11,11,11,NA
"286","CA","Los Angeles","GEM TRANSITIONAL",1,1,1,1,1,NA
"287","CA","Los Angeles","GLADSTONE CARE AND REHABILITATION CENTER",10,6,10,9,9,2
"288","CA","Los Angeles","GLENDORA CANYON TRANSITIONAL CARE UNIT",6,5,5,4,4,NA
"289","CA","Los Angeles","GLENHAVEN HEALTHCARE",1,NA,NA,NA,NA,NA
"290","CA","Los Angeles","GOLDEN CROSS HEALTH CARE",4,3,4,4,1,NA
"291","CA","Los Angeles","GOLDEN LEGACY CARE CENTER",10,10,10,9,10,2
