"","Provider.State","County","Provider.Name","WeeksofShortage_of_AD_by_Provider","WeeksofShortage_of_CS_by_Provider","WeeksofShortage_of_NS_by_Provider","WeeksofShortage_of_OS_by_Provider"
"67","AL","Jackson","CLOVERDALE REHABILITATION AND NURSING CENTER",1,NA,NA,NA
"68","AL","Jackson","CUMBERLAND HEALTH AND REHAB",36,2,29,25
"69","AL","Jackson","HIGHLANDS HEALTH AND REHAB",1,NA,NA,NA
"70","AL","Jefferson","ARLINGTON REHABILITATION & HEALTHCARE CENTER",1,1,1,1
"71","AL","Jefferson","BARON HOUSE OF HUEYTOWN",37,4,40,15
"72","AL","Jefferson","CAREGIVERS OF PLEASANT GROVE, INC",2,2,2,2
"73","AL","Jefferson","CHERRY HILL REHABILITATION & HEALTHCARE CENTER",14,1,13,1
"74","AL","Jefferson","DIVERSICARE OF BESSEMER",41,2,41,36
"75","AL","Jefferson","DIVERSICARE OF RIVERCHASE",29,11,28,34
"76","AL","Jefferson","EASTVIEW REHABILITATION & HEALTHCARE CENTER",7,7,21,7
"77","AL","Jefferson","GALLERIA WOODS SKILLED NURSING FACILITY",1,NA,NA,NA
"78","AL","Jefferson","GREENBRIAR AT THE ALTAMONT SKILLED NURSING FACILIT",3,3,3,3
"79","AL","Jefferson","KIRKWOOD BY THE RIVER",19,1,8,1
"80","AL","Jefferson","MOUNT ROYAL TOWERS",5,NA,1,NA
"81","AL","Jefferson","OAK KNOLL HEALTH AND REHABILITATION, LLC",1,NA,1,NA
"82","AL","Jefferson","OAK TRACE CARE & REHABILITATION CENTER",41,NA,40,2
"83","AL","Jefferson","OAKS ON PARKWOOD SKILLED NURSING FACILITY",1,NA,1,NA
"84","AL","Jefferson","PLANTATION MANOR NURSING HOME",3,NA,3,NA
"85","AL","Jefferson","ST MARTIN'S IN THE PINES",3,1,3,3
"86","AL","Jefferson","TERRACE OAKS CARE & REHABILITATION CENTER",13,1,29,1
"87","AL","Jefferson","TRUSSVILLE HEALTH & REHABILITATION CENTER",36,NA,36,NA
"88","AL","Jefferson","WEST HILL HEALTH AND REHAB",1,1,1,2
"89","AL","Lamar","GENERATIONS OF VERNON, LLC",14,1,9,1
"90","AL","Lauderdale","EL REPOSO NURSING FACILITY",17,2,5,2
"91","AL","Lauderdale","LAUDERDALE CHRISTIAN NURSING HOME",41,2,19,4
"92","AL","Lauderdale","MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION",2,NA,NA,NA
"93","AL","Lawrence","NHC HEALTHCARE, MOULTON",32,10,29,21
"94","AL","Lee","ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",38,NA,40,1
"95","AL","Lee","EAST ALABAMA MEDICAL CENTER SKILLED NURSING FACILI",13,1,13,NA
"96","AL","Lee","OAK PARK",40,NA,41,37
"97","AL","Limestone","ATHENS HEALTH AND REHABILITATION LLC",1,NA,1,NA
"98","AL","Limestone","SENIOR REHAB & RECOVERY AT LIMESTONE HEALTH FACILI",6,NA,NA,NA
"99","AL","Lowndes","ORCHARD REHABILITATION & HEALTHCARE CENTER",15,6,14,12
"100","AL","Madison","AHC MILLENIUM",6,1,27,6
"101","AL","Madison","BROOKSHIRE HEALTHCARE CENTER",43,2,43,22
"102","AL","Madison","DIVERSICARE OF BIG SPRINGS",41,2,34,12
"103","AL","Madison","MADISON MANOR NURSING HOME",40,1,38,43
"104","AL","Madison","REGENCY HEALTH CARE AND REHABILITATION CENTER",29,3,19,10
"105","AL","Madison","SIGNATURE HEALTHCARE OF WHITESBURG GARDENS",2,1,1,1
"106","AL","Madison","WINDSOR HOUSE",6,NA,4,NA
"107","AL","Marengo","MARENGO NURSING HOME",16,3,16,1
"108","AL","Marengo","WOODHAVEN MANOR NURSING HOME",1,3,1,19
"109","AL","Marion","DIVERSICARE OF WINFIELD",32,2,37,7
"110","AL","Marion","MARION REGIONAL NURSING HOME",37,1,25,22
"111","AL","Marshall","DIVERSICARE OF ARAB",26,1,30,15
"112","AL","Marshall","DIVERSICARE OF BOAZ",3,NA,2,2
"113","AL","Marshall","MARSHALL MANOR NURSING HOME",10,NA,26,NA
"114","AL","Mobile","ALLEN HEALTH AND REHABILITATION",7,NA,8,4
"115","AL","Mobile","AZALEA GARDENS OF MOBILE",10,NA,31,1
"116","AL","Mobile","CROWNE HEALTH CARE OF CITRONELLE",41,6,41,41
"117","AL","Mobile","CROWNE HEALTH CARE OF MOBILE",36,NA,35,NA
"118","AL","Mobile","CROWNE HEALTH CARE OF SPRINGHILL",5,NA,3,NA
"119","AL","Mobile","GRAND BAY CONVALESCENT HOME, INC.",31,2,31,11
"120","AL","Mobile","KENSINGTON HEALTH AND REHABILITATION",9,NA,6,NA
"121","AL","Mobile","KNOLLWOOD HEALTHCARE",43,NA,43,42
"122","AL","Mobile","LYNWOOD NURSING HOME",41,2,40,38
"123","AL","Mobile","NORTH MOBILE NURSING AND REHABILITATION CTR",8,8,8,8
"124","AL","Mobile","SPRINGHILL MANOR NURSING HOME",18,1,19,4
"125","AL","Mobile","SPRINGHILL SENIOR RESIDENCE",1,1,1,1
"126","AL","Mobile","TWIN OAKS REHABILITATION AND HEALTHCARE CENTER",33,1,35,35
"127","AL","Monroe","MONROE MANOR HEALTH & REHABILITATION CENTER",1,NA,1,NA
"128","AL","Montgomery","CAPITOL HILL HEALTHCARE CENTER",1,1,1,1
"129","AL","Montgomery","CRIMSON HEALTH AND REHAB, LLC",3,3,3,4
"130","AL","Montgomery","CROWNE HEALTH CARE OF MONTGOMERY",35,NA,31,NA
"131","AL","Montgomery","DIVERSICARE OF MONTGOMERY",41,1,41,18
"132","AL","Montgomery","FATHER PURCELL MEMORIAL EXCEPTIONAL CHILDREN'S CTR",1,1,1,1
"133","AL","Montgomery","JOHN KNOX MANOR INC  I I",23,NA,31,1
"134","AL","Montgomery","MONTGOMERY CHILDREN'S SPECIALTY CENTER",37,3,39,16
"135","AL","Montgomery","MONTGOMERY HEALTH AND REHAB, LLC",1,1,NA,1
"136","AL","Morgan","DECATUR HEALTH & REHAB CENTER",19,NA,19,4
"137","AL","Morgan","FALKVILLE HEALTH CARE CENTER",33,NA,33,26
"138","AL","Morgan","SUMMERFORD HEALTH AND REHAB, LLC",4,NA,4,4
"139","AL","Perry","PERRY COUNTY NURSING HOME",38,11,34,33
"140","AL","Pickens","ALICEVILLE MANOR NURSING HOME",1,1,1,1
"141","AL","Pickens","ARBOR WOODS HEALTH AND REHAB",41,NA,28,28
"142","AL","Pike","TROY HEALTH & REHABILITATION CENTER",42,1,41,42
"143","AL","Randolph","ROANOKE REHABILITATION & HEALTHCARE CENTER",9,NA,16,1
"144","AL","Randolph","TRAYLOR RETIREMENT COMMUNITY",43,1,42,43
"145","AL","Russell","CANTERBURY HEALTH CARE FACILITY",40,4,12,4
"146","AL","Russell","PARKWOOD HEALTH CARE FACILITY",2,1,1,1
"147","AL","Russell","PHENIX CITY HEALTH CARE, INC",39,2,39,17
"148","AL","Shelby","AHAVA HEALTHCARE OF ALABASTER",2,1,1,1
"149","AL","Shelby","SHELBY RIDGE NURSING HOME",13,13,13,13
"150","AL","St. Clair","DIVERSICARE OF PELL CITY",19,3,32,4
"151","AL","St. Clair","HEALTH CARE INC",6,6,6,7
"152","AL","St. Clair","MEADOWVIEW NURSING CENTER",39,2,4,5
"153","AL","St. Clair","VILLAGE AT COOK SPRINGS SKILLED NURSING FACILITY",9,NA,10,13
"154","AL","Talladega","SYLACAUGA HEALTH AND REHAB SERVICES",43,1,43,2
"155","AL","Tallapoosa","BROWN NURSING HOME",1,1,1,1
"156","AL","Tallapoosa","CHAPMAN HEALTHCARE CENTER, INC",9,NA,NA,NA
"157","AL","Tallapoosa","DADEVILLE HEALTHCARE CENTER",4,1,6,1
"158","AL","Tuscaloosa","FOREST MANOR HEALTH AND REHAB",27,NA,27,25
"159","AL","Walker","RIDGEVIEW HEALTH SERVICES, INC",1,1,1,1
"160","AL","Walker","SHADESCREST HEALTH CARE CENTER",14,14,14,14
"161","AL","Walker","WALKER REHABILITATION CENTER, INC",15,NA,18,11
"162","AL","Washington","WASHINGTON COUNTY NURSING HOME",22,2,4,3
"163","AL","Wilcox","CAMDEN NURSING FACILITY INC.",21,9,15,27
"164","AR","Arkansas","CRESTPARK DEWITT, LLC",3,NA,3,NA
"165","AR","Arkansas","CRESTPARK STUTTGART, LLC",4,2,2,3
"166","AR","Arkansas","DEWITT NURSING HOME",12,2,6,3
"167","AR","Ashley","SOMERSET SENIOR LIVING AT CROSSETT",8,NA,5,8
"168","AR","Ashley","STONEGATE VILLA HEALTH AND REHABILITATION, LLC",2,1,2,1
"169","AR","Baxter","CARE MANOR NURSING AND REHAB",3,NA,NA,NA
"170","AR","Baxter","GASSVILLE THERAPY AND LIVING",5,NA,NA,NA
"171","AR","Baxter","HIRAM SHADDOX HEALTH AND REHAB",4,NA,1,NA
"172","AR","Benton","BRADFORD HOUSE NURSING AND REHAB, LLC",4,NA,2,NA
"173","AR","Benton","CONCORDIA NURSING & REHAB, LLC",4,NA,2,NA
"174","AR","Benton","JAMESTOWN NURSING AND REHAB, LLC",1,1,1,1
"175","AR","Benton","PROMENADE HEALTH AND REHABILITATION",6,NA,6,NA
"176","AR","Benton","ROGERS HEALTH AND REHABILITATION CENTER",2,NA,2,1
"177","AR","Benton","SILOAM HEALTHCARE, LLC",32,2,33,25
"178","AR","Benton","THE WATERS OF ROGERS, LLC",4,1,1,1
"179","AR","Boone","HILLCREST HOME",1,NA,NA,NA
"180","AR","Bradley","CHAPEL WOODS HEALTH AND REHABILITATION",6,NA,NA,NA
"181","AR","Carroll","BRIGHTON RIDGE",5,2,3,2
"182","AR","Chicot","DERMOTT CITY NURSING HOME",2,1,2,1
"183","AR","Chicot","LAKE VILLAGE REHABILITATION AND CARE CENTER",3,NA,16,1
"184","AR","Clark","COURTYARD GARDENS HEALTH AND REHABILITATION CENTER",17,NA,20,NA
"185","AR","Clay","CORNING THERAPY AND LIVING CENTER",1,NA,NA,NA
"186","AR","Clay","GENERAL BAPTIST NURSING HOME OF PIGGOTT",2,1,1,1
"187","AR","Cleburne","SOMERSET SENIOR LIVING AT SEVEN SPRINGS",7,NA,NA,NA
"188","AR","Cleveland","THE GREEN HOUSE COTTAGES OF SOUTHERN HILLS",1,1,1,1
"189","AR","Columbia","MAGNOLIA HEALTHCARE LLC",15,1,1,1
"190","AR","Columbia","SUMMIT HEALTH & REHAB CENTER",1,NA,2,NA
"191","AR","Columbia","THE GREEN HOUSE COTTAGES OF WENTWORTH PLACE",28,NA,32,8
"192","AR","Conway","BROOKRIDGE COVE REHABILITATION AND CARE  CENTER",1,1,1,1
"193","AR","Conway","RIVER CHASE REHABILITATION AND CARE CENTER",4,NA,3,5
"194","AR","Craighead","CRAIGHEAD NURSING CENTER",2,1,1,1
"195","AR","Craighead","JONESBORO WELLNESS LLC",11,4,20,7
"196","AR","Craighead","MONETTE MANOR LLC",6,NA,2,3
"197","AR","Craighead","RIDGECREST HEALTH AND REHABILITATION",3,NA,1,NA
"198","AR","Craighead","ST ELIZABETH'S PLACE",3,NA,1,NA
"199","AR","Crawford","ALMA HEALTHCARE AND REHABILITATION CENTER",2,NA,2,1
"200","AR","Crawford","CRAWFORD HEALTHCARE AND REHABILITATION CENTER",3,NA,1,NA
"201","AR","Crawford","VALLEY SPRINGS REHABILITATION AND HEALTH CENTER",28,NA,9,5
"202","AR","Crawford","VAN BUREN HEALTHCARE AND REHABILITATION CENTER",6,NA,6,NA
"203","AR","Crittenden","WEST MEMPHIS HEALTH AND REHAB",41,NA,21,15
"204","AR","Crittenden","WEST MEMPHIS WELLNESS, LLC",40,3,40,9
"205","AR","Crittenden","WILLOWBEND HEALTHCARE AND REHABILITATION",11,2,9,2
"206","AR","Cross","CRESTPARK WYNNE, LLC",42,3,4,5
"207","AR","Dallas","ST JOHNS PLACE OF ARKANSAS, LLC",12,NA,5,3
"208","AR","Desha","SOMERSET SENIOR LIVING AT MCGEHEE",2,NA,1,NA
"209","AR","Drew","BELLE VIEW ESTATES REHABILITATION AND CARE CENTER",2,NA,NA,NA
"210","AR","Faulkner","CONWAY HEALTHCARE AND REHABILITATION CENTER",23,NA,15,NA
"211","AR","Faulkner","HERITAGE LIVING CENTER",6,NA,NA,NA
"212","AR","Faulkner","ST ANDREWS HEALTHCARE",2,2,1,1
"213","AR","Franklin","GREENHURST NURSING CENTER",43,NA,43,42
"214","AR","Franklin","OZARK NURSING HOME INC",22,NA,1,1
"215","AR","Garland","BELVEDERE NURSING AND REHABILITATION CENTER, LLC",7,NA,NA,NA
"216","AR","Garland","GOOD SAMARITAN SOCIETY - HOT SPRINGS VILLAGE",22,NA,3,NA
"217","AR","Garland","HOT SPRINGS NURSING AND REHABILITATION- A WATERS C",1,1,1,1
"218","AR","Garland","QUAPAW CARE AND REHABILITATION CENTER LLC",17,NA,13,18
"219","AR","Garland","VILLAGE SPRINGS HEALTH AND REHABILITATION",1,NA,NA,NA
"220","AR","Greene","THE GREEN HOUSE COTTAGES OF BELLE MEADE",38,2,40,4
"221","AR","Hot Spring","ARBOR OAKS HEALTHCARE AND REHABILITATION CENTER",2,1,1,1
"222","AR","Hot Spring","ENCORE HEALTHCARE AND REHABILITATION",6,1,2,1
"223","AR","Howard","NASHVILLE NURSING AND REHAB, INC",2,NA,NA,NA
"224","AR","Howard","NASHVILLE WELLNESS, LLC",2,2,2,2
"225","AR","Independence","BATESVILLE HEALTHCARE LLC",12,1,1,2
"226","AR","Independence","MOUNTAIN MEADOWS HEALTH AND REHABILITATION",2,NA,NA,NA
"227","AR","Izard","PIONEER THERAPY AND LIVING",2,NA,NA,NA
"228","AR","Izard","WHITE RIVER HEALTHCARE",3,3,3,3
"229","AR","Jackson","ST MICHAEL'S HEALTHCARE",5,NA,13,NA
"230","AR","Jackson","THE WATERS OF NEWPORT, LLC",1,NA,1,1
"231","AR","Jefferson","ARKANSAS CONVALESCENT CENTER",31,1,30,9
"232","AR","Jefferson","THE VILLAGES OF GENERAL BAPTIST HEALTH CARE  EAST",1,1,1,1
"233","AR","Jefferson","THE VILLAGES OF GENERAL BAPTIST HEALTH CARE WEST",41,NA,41,4
"234","AR","Jefferson","THE WATERS OF WHITE HALL, LLC",9,1,6,8
"235","AR","Jefferson","TRINITY VILLAGE MEDICAL CENTER",29,3,28,25
"236","AR","Lafayette","THE WATERS OF STAMPS, LLC",33,2,34,3
"237","AR","Lawrence","LAWRENCE HALL HEALTH & REHABILITATION",29,1,11,4
"238","AR","Lawrence","WALNUT RIDGE NURSING AND REHABILITATION CENTER",4,3,5,3
"239","AR","Lee","CRESTPARK MARIANNA, L L C",7,1,5,7
"240","AR","Lincoln","EAST POINT HEALTH AND REHAB",3,NA,2,NA
"241","AR","Lincoln","GARDNER NURSING AND REHABILITATION",17,NA,1,NA
"242","AR","Little River","LITTLE RIVER NURSING & REHAB",2,NA,3,NA
"243","AR","Little River","PLEASANT MANOR NURSING & REHAB",9,NA,11,3
"244","AR","Logan","OAK MANOR NURSING AND REHABILITATION CENTER INC",1,1,1,1
"245","AR","Lonoke","CHAMBERS NURSING HOME CENTER, INC",24,1,7,2
"246","AR","Lonoke","GREYSTONE NURSING AND REHAB, LLC",1,NA,NA,NA
"247","AR","Lonoke","LONOKE HEALTH AND REHAB CENTER, LLC",1,1,1,1
"248","AR","Madison","MEADOWVIEW HEALTHCARE AND REHAB",15,NA,1,NA
"249","AR","Marion","COMMUNITY COMPASSION CENTER OF YELLVILLE",20,NA,19,NA
"250","AR","Miller","ARKANSAS NURSING AND REHABILITATION CENTER",3,3,3,3
"251","AR","Miller","BAILEY CREEK HEALTH AND REHAB",1,NA,NA,NA
"252","AR","Miller","BENTLEY REHABILITATION AND HEALTH CENTER",1,NA,1,NA
"253","AR","Mississippi","HARRIS HEALTH AND REHAB",4,3,3,6
"254","AR","Mississippi","HERITAGE SQUARE HEALTHCARE CENTER",1,NA,1,2
"255","AR","Mississippi","MANILA HEALTHCARE CENTER",2,2,2,2
"256","AR","Monroe","CLA-CLIF NURSING AND REHAB CENTER, INC",30,1,2,6
"257","AR","Montgomery","MONTGOMERY COUNTY NURSING HOME",10,2,10,7
"258","AR","Nevada","SOUTHERN PINES HEALTH AND REHAB",9,1,6,1
"259","AR","Newton","NEWTON COUNTY NURSING HOME",1,NA,NA,NA
"260","AR","Ouachita","OUACHITA NURSING AND REHABILITATION CENTER",18,NA,22,1
"261","AR","Ouachita","SILVER OAKS HEALTH AND REHABILITATION",1,NA,NA,NA
"262","AR","Ouachita","SOMERSET SENIOR LIVING AT PINE HILLS",1,1,1,1
"263","AR","Perry","PERRY COUNTY NURSING AND REHABILITATION CENTER",2,3,2,2
"264","AR","Phillips","CRESTPARK HELENA, LLC",21,NA,25,2
"265","AR","Pike","MURFREESBORO REHAB AND NURSING, INC",3,3,3,3
"266","AR","Poinsett","THREE RIVERS HEALTHCARE AND REHABILITATION",6,1,1,2
"267","AR","Pope","ATKINS NURSING AND REHABILITATION CENTER",2,2,2,2
"268","AR","Pope","LEGACY HEIGHTS NURSING AND REHAB, LLC",11,1,13,3
"269","AR","Prairie","DES ARC NURSING AND REHABILITATION CENTER",18,NA,18,13
"270","AR","Prairie","MAPLE HEALTHCARE",14,1,2,3
"271","AR","Pulaski","ALLAY HEALTH AND REHAB",3,1,9,NA
"272","AR","Pulaski","BARROW CREEK HEALTH AND REHAB",15,1,7,1
"273","AR","Pulaski","COLONEL GLENN HEALTH AND REHAB, LLC",1,1,1,1
"274","AR","Pulaski","COTTAGE LANE HEALTH AND REHAB",11,1,7,2
"275","AR","Pulaski","ENCORE HEALTHCARE AND REHABILITATION OF WEST LITTL",40,2,40,30
"276","AR","Pulaski","HICKORY HEIGHTS HEALTH AND REHAB, LLC",3,3,3,3
"277","AR","Pulaski","PRESBYTERIAN VILLAGE, INC",2,2,2,2
"278","AR","Pulaski","SHERWOOD NURSING & REHABILITATION CENTER, INC",34,NA,40,4
"279","AR","Pulaski","SOMERSET SENIOR LIVING AT PREMIER",1,1,1,1
"280","AR","Pulaski","THE GREEN HOUSE COTTAGES OF POPLAR GROVE",5,5,5,5
"281","AR","Pulaski","THE VILLAGE AT VALLEY RANCH",17,NA,1,1
"282","AR","Pulaski","THE WATERS OF WEST DIXON, LLC",13,5,23,7
"283","AR","Pulaski","THE WATERS OF WOODLAND HILLS, LLC",1,1,1,1
"284","AR","Pulaski","WOODLAND HILLS HEALTHCARE AND REHABILITATION",5,1,7,2
"285","AR","Randolph","POCAHONTAS HEALTHCARE AND REHABILITATION CENTER",1,NA,NA,NA
"286","AR","Randolph","RANDOLPH COUNTY NURSING HOME",15,1,1,2
"287","AR","Saline","ALCOA PINES HEALTH AND REHABILITATION",5,NA,NA,NA
"288","AR","Saline","AMBERWOOD HEALTH AND REHABILITATION",1,NA,NA,NA
"289","AR","Saline","ARKANSAS HEALTH CENTER",4,3,3,3
"290","AR","Saline","EVERGREEN LIVING CENTER AT STAGECOACH",1,NA,NA,NA
"291","AR","Saline","SOUTHERN TRACE REHABILITATION AND CARE CENTER",1,1,1,1
"292","AR","Searcy","HIGHLAND COURT, A REHABILITATION AND RESIDENT CARE",12,5,6,6
"293","AR","Sebastian","CHAPEL RIDGE HEALTH AND REHAB",1,1,1,1
"294","AR","Sebastian","FIANNA HILLS NURSING AND REHABILITATION CENTER",1,1,1,1
"295","AR","Sebastian","METHODIST HEALTH AND REHAB",4,1,1,1
"296","AR","Sebastian","THE WATERS OF FORT SMITH, LLC",1,1,1,1
"297","AR","Sharp","ASH FLAT HEALTHCARE AND REHABILITATION CENTER",1,1,1,1
"298","AR","Sharp","CAVE CITY NURSING HOME INC",7,2,2,7
"299","AR","St. Francis","CRESTPARK FORREST CITY, LLC",1,1,1,1
"300","AR","Union","ADVANCED HEALTH AND REHAB OF UNION COUNTY",25,13,13,13
"301","AR","Union","COURTYARD REHABILITATION AND HEALTH CENTER, LLC",6,6,6,6
"302","AR","Union","HUDSON MEMORIAL NURSING HOME",14,NA,6,2
"303","AR","Union","OAK RIDGE HEALTH AND REHABILITATION",8,NA,NA,NA
"304","AR","Van Buren","INDIAN ROCK VILLAGE HEALTH CENTER",28,1,9,2
"305","AR","Washington","ARKANSAS VETERANS HOME AT FAYETTEVILLE",18,1,3,1
"306","AR","Washington","KATHERINE'S PLACE AT WEDINGTON",4,NA,NA,NA
"307","AR","Washington","NORTH HILLS LIFE CARE AND REHAB",4,NA,NA,NA
"308","AR","Washington","PRAIRIE GROVE HEALTH AND REHABILITATION, LLC",27,NA,6,NA
"309","AR","Washington","SHILOH NURSING AND REHAB, LLC",1,1,1,1
"310","AR","Washington","THE MAPLES AT HAR-BER MEADOWS",7,NA,NA,NA
"311","AR","Washington","WESTWOOD HEALTH AND REHAB, INC",5,NA,NA,NA
"312","AR","Washington","WINDCREST HEALTH AND REHAB INC",5,NA,NA,NA
"313","AR","White","BEEBE RETIREMENT CENTER, INC.",3,NA,NA,NA
"314","AR","White","OAKDALE NURSING FACILITY",1,NA,NA,NA
"315","AR","White","SEARCY HEALTHCARE LLC",19,1,17,1
"316","AR","White","THE CROSSING AT RIVERSIDE HEALTH AND REHABILITATIO",2,NA,NA,NA
"317","AR","Woodruff","WOODRUFF COUNTY HEALTH CENTER",1,NA,NA,1
"318","AR","Yell","MITCHELL'S NURSING HOME, INC",1,1,1,1
"319","AZ","Apache","CHINLE NURSING HOME",39,33,39,38
"320","AZ","Cochise","LIFE CARE CENTER OF SIERRA VISTA",18,NA,22,28
"321","AZ","Coconino","ASPIRE TRANSITIONAL CARE",4,3,11,2
"322","AZ","Coconino","HAVEN OF FLAGSTAFF",4,NA,NA,NA
"323","AZ","Coconino","HAVEN OF SEDONA",2,NA,NA,NA
"324","AZ","Coconino","THE PEAKS HEALTH & REHABILITATION",21,2,2,13
"325","AZ","Gila","HAVEN OF GLOBE",3,NA,3,NA
"326","AZ","Gila","HERITAGE HEALTH CARE CENTER",32,NA,32,14
"327","AZ","Gila","PAYSON CARE CENTER",28,1,27,24
"328","AZ","Gila","RIM COUNTRY HEALTH & RETIREMENT COMMUNITY",18,NA,19,22
