"","Provider.State","County","Provider.Name","Number_of_Available_Beds_by_Provider","Number.of.Ventilators.in.Facility_1","Number.of.Ventilators.in.Use.for.COVID.19_1","Ratio_of_available_vt"
"48","AL","Clarke","CROWNE HEALTH CARE OF THOMASVILLE",584,NA,NA,NA
"49","AL","Clarke","JACKSON HEALTH CARE FACILITY",994,NA,NA,NA
"50","AL","Clay","CLAY COUNTY NURSING HOME",958,NA,NA,NA
"51","AL","Clay","LINEVILLE HEALTH AND REHABILITATION, LLC",687,NA,NA,NA
"52","AL","Cleburne","CLEBURNE COUNTY NURSING HOME",645,NA,NA,NA
"53","AL","Coffee","ELBA NURSING AND REHABILITATION CENTER, LLC",676,NA,NA,NA
"54","AL","Coffee","ENTERPRISE HEALTH & REHABILITATION CENTER",4068,NA,NA,NA
"55","AL","Colbert","COTTAGE OF THE SHOALS",1389,NA,NA,NA
"56","AL","Colbert","CYPRESS COVE CARE CENTER",986,NA,NA,NA
"57","AL","Colbert","KELLER LANDING",1942,NA,NA,NA
"58","AL","Conecuh","EVERGREEN NURSING HOME",373,NA,NA,NA
"59","AL","Coosa","GOODWATER HEALTHCARE CENTER",655,NA,NA,NA
"60","AL","Covington","ANDALUSIA MANOR",2510,NA,NA,NA
"61","AL","Covington","FLORALA HEALTH AND REHABILITATION LLC",566,NA,NA,NA
"62","AL","Covington","OPP HEALTH AND REHABILITATION, LLC",2469,NA,NA,NA
"63","AL","Crenshaw","LUVERNE HEALTH AND REHABILITATION, LLC",1143,NA,NA,NA
"64","AL","Cullman","CULLMAN HEALTH CARE CENTER",927,NA,NA,NA
"65","AL","Cullman","FOLSOM CENTER FOR REHABILITATION AND HEALTHCARE, T",1203,NA,NA,NA
"66","AL","Cullman","HANCEVILLE NURSING & REHAB CENTER, INC",1000,NA,NA,NA
"67","AL","Cullman","SANCTUARY AT THE WOODLANDS",722,NA,NA,NA
"68","AL","Cullman","WOODLAND VILLAGE REHABILITATION AND HEALTHCARE CEN",1866,NA,NA,NA
"69","AL","Dale","OAKVIEW MANOR HEALTH CARE CENTER",1839,NA,NA,NA
"70","AL","Dale","OZARK HEALTH AND REHABILITATION, LLC",996,NA,NA,NA
"71","AL","Dallas","LIGHTHOUSE REHABILITATION & HEALTHCARE CENTER",465,NA,NA,NA
"72","AL","Dallas","PARK PLACE",836,NA,NA,NA
"73","AL","Dallas","SELMA HEALTH AND REHAB, LLC",2692,NA,NA,NA
"74","AL","DeKalb","COLLINSVILLE HEALTHCARE & REHAB",2436,NA,NA,NA
"75","AL","DeKalb","CROSSVILLE HEALTH AND REHABILITATION, LLC",748,NA,NA,NA
"76","AL","DeKalb","CROWNE HEALTH CARE OF FT PAYNE",1188,NA,NA,NA
"77","AL","Elmore","CHARLTON PLACE REHAB AND HEALTHCARE CENTER",675,NA,NA,NA
"78","AL","Elmore","MERRY WOOD LODGE",1960,NA,NA,NA
"79","AL","Elmore","TALLASSEE HEALTH AND REHABILITATION, LLC",1216,NA,NA,NA
"80","AL","Elmore","WETUMPKA HEALTH AND REHABILITATION, LLC",892,NA,NA,NA
"81","AL","Escambia","ATMORE NURSING CENTER",1062,NA,NA,NA
"82","AL","Escambia","WEST GATE VILLAGE",1124,NA,NA,NA
"83","AL","Etowah","ALTOONA  HEALTH & REHAB",189,NA,NA,NA
"84","AL","Etowah","ATTALLA HEALTH AND REHAB",3836,NA,NA,NA
"85","AL","Etowah","COOSA VALLEY HEALTH AND REHAB",1422,NA,NA,NA
"86","AL","Etowah","GADSDEN HEALTH AND REHAB CENTER",1861,NA,NA,NA
"87","AL","Etowah","MCGUFFEY HEALTH & REHABILITATION CENTER",2855,NA,NA,NA
"88","AL","Etowah","NORTHSIDE HEALTH CARE",1243,NA,NA,NA
"89","AL","Fayette","FAYETTE MEDICAL CENTER LONG TERM CARE UNIT",1262,NA,NA,NA
"90","AL","Franklin","BURNS NURSING HOME, INC.",259,NA,NA,NA
"91","AL","Franklin","GENERATIONS OF RED BAY, LLC",1412,NA,NA,NA
"92","AL","Franklin","RUSSELLVILLE HEALTH CARE INC",419,NA,NA,NA
"93","AL","Franklin","TERRACE MANOR NURSING & REHABILITATION CENTER, INC",502,NA,NA,NA
"94","AL","Geneva","HARTFORD HEALTH CARE",479,NA,NA,NA
"95","AL","Geneva","WIREGRASS REHABILITATION CENTER & NURSING HOME",667,NA,NA,NA
"96","AL","Greene","GREENE COUNTY NURSING HOME",1505,25,11,0.44
"97","AL","Hale","COLONIAL HAVEN CARE & REHABILITATION CENTER",1351,NA,NA,NA
"98","AL","Hale","MOUNDVILLE HEALTH AND REHABILITATION, LLC",476,NA,NA,NA
"99","AL","Henry","HENRY COUNTY HEALTH AND REHABILITATION FACILITY",2576,NA,NA,NA
"100","AL","Houston","EXTENDICARE HEALTH CENTER",1843,NA,NA,NA
"101","AL","Houston","WESLEY PLACE ON HONEYSUCKLE",1168,NA,NA,NA
"102","AL","Houston","WESTSIDE TERRACE HEALTH & REHABILITATION CENTER",1149,NA,NA,NA
"103","AL","Jackson","CLOVERDALE REHABILITATION AND NURSING CENTER",968,NA,NA,NA
"104","AL","Jackson","CUMBERLAND HEALTH AND REHAB",1219,NA,NA,NA
"105","AL","Jackson","HIGHLANDS HEALTH AND REHAB",489,NA,NA,NA
"106","AL","Jefferson","ARLINGTON REHABILITATION & HEALTHCARE CENTER",947,559,7,0.013
"107","AL","Jefferson","ASPIRE PHYSICAL RECOVERY CENTER AT CAHABA RIVER",1290,NA,NA,NA
"108","AL","Jefferson","ASPIRE PHYSICAL RECOVERY CENTER AT HOOVER, LLC",1181,NA,NA,NA
"109","AL","Jefferson","BARON HOUSE OF HUEYTOWN",907,NA,NA,NA
"110","AL","Jefferson","BIRMINGHAM NURSING AND REHABILITATION CENTER EAST",647,NA,NA,NA
"111","AL","Jefferson","BIRMINGHAM NURSING AND REHABILITATION CTR LLC",483,NA,NA,NA
"112","AL","Jefferson","BROOKDALE UNIVERSITY PARK SNF (AL)",970,NA,NA,NA
"113","AL","Jefferson","CAREGIVERS OF PLEASANT GROVE, INC",778,NA,NA,NA
"114","AL","Jefferson","CHERRY HILL REHABILITATION & HEALTHCARE CENTER",658,NA,NA,NA
"115","AL","Jefferson","CIVIC CENTER HEALTH AND REHABILITATION, LLC",422,NA,NA,NA
"116","AL","Jefferson","DIVERSICARE OF BESSEMER",2274,NA,NA,NA
"117","AL","Jefferson","DIVERSICARE OF RIVERCHASE",1307,NA,NA,NA
"118","AL","Jefferson","EAST GLEN",829,NA,NA,NA
"119","AL","Jefferson","EASTVIEW REHABILITATION & HEALTHCARE CENTER",793,NA,NA,NA
"120","AL","Jefferson","FAIR HAVEN",2375,NA,NA,NA
"121","AL","Jefferson","GALLERIA WOODS SKILLED NURSING FACILITY",86,NA,NA,NA
"122","AL","Jefferson","GREENBRIAR AT THE ALTAMONT SKILLED NURSING FACILIT",710,NA,NA,NA
"123","AL","Jefferson","KIRKWOOD BY THE RIVER",869,NA,NA,NA
"124","AL","Jefferson","LEGACY HEALTH AND REHABILITATION OF PLEASANT GROVE",679,NA,NA,NA
"125","AL","Jefferson","MAGNOLIA RIDGE",1312,NA,NA,NA
"126","AL","Jefferson","MOUNT ROYAL TOWERS",1462,NA,NA,NA
"127","AL","Jefferson","NORTH HILL NURSING AND REHABILITATION CTR, LLC",1160,NA,NA,NA
"128","AL","Jefferson","NORTHWAY HEALTH AND REHABILITATION, LLC",593,NA,NA,NA
"129","AL","Jefferson","OAK KNOLL HEALTH AND REHABILITATION, LLC",591,NA,NA,NA
"130","AL","Jefferson","OAK TRACE CARE & REHABILITATION CENTER",613,NA,NA,NA
"131","AL","Jefferson","OAKS ON PARKWOOD SKILLED NURSING FACILITY",1247,NA,NA,NA
"132","AL","Jefferson","PLANTATION MANOR NURSING HOME",895,NA,NA,NA
"133","AL","Jefferson","SELF HEALTH CARE & REHAB CENTER INC",2649,NA,NA,NA
"134","AL","Jefferson","SOUTH HAVEN HEALTH AND REHABILITATION, LLC",1230,NA,NA,NA
"135","AL","Jefferson","SOUTH HEALTH AND REHABILITATION, LLC",508,NA,NA,NA
"136","AL","Jefferson","ST MARTIN'S IN THE PINES",1729,NA,NA,NA
"137","AL","Jefferson","TERRACE OAKS CARE & REHABILITATION CENTER",595,NA,NA,NA
"138","AL","Jefferson","TRUSSVILLE HEALTH & REHABILITATION CENTER",1346,NA,NA,NA
"139","AL","Jefferson","WEST HILL HEALTH AND REHAB",4200,NA,NA,NA
"140","AL","Lamar","GENERATIONS OF VERNON, LLC",2512,NA,NA,NA
"141","AL","Lauderdale","EL REPOSO NURSING FACILITY",343,NA,NA,NA
"142","AL","Lauderdale","FLORENCE NURSING AND REHABILITATION CTR,  LLC",998,NA,NA,NA
"143","AL","Lauderdale","GLENWOOD CENTER",1087,NA,NA,NA
"144","AL","Lauderdale","LAUDERDALE CHRISTIAN NURSING HOME",315,NA,NA,NA
"145","AL","Lauderdale","MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION",2740,NA,NA,NA
"146","AL","Lawrence","NHC HEALTHCARE, MOULTON",1091,NA,NA,NA
"147","AL","Lee","ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",4953,NA,NA,NA
"148","AL","Lee","EAST ALABAMA MEDICAL CENTER SKILLED NURSING FACILI",664,NA,NA,NA
"149","AL","Lee","OAK PARK",548,NA,NA,NA
"150","AL","Limestone","ATHENS HEALTH AND REHABILITATION LLC",1383,NA,NA,NA
"151","AL","Limestone","SENIOR REHAB & RECOVERY AT LIMESTONE HEALTH FACILI",2049,NA,NA,NA
"152","AL","Lowndes","ORCHARD REHABILITATION & HEALTHCARE CENTER",845,NA,NA,NA
"153","AL","Macon","MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER",1253,NA,NA,NA
"154","AL","Madison","AHC MILLENIUM",461,NA,NA,NA
"155","AL","Madison","BROOKSHIRE HEALTHCARE CENTER",1202,NA,NA,NA
"156","AL","Madison","DIVERSICARE OF BIG SPRINGS",1263,NA,NA,NA
"157","AL","Madison","FAIRVIEW AT REDSTONE VILLAGE",545,NA,NA,NA
"158","AL","Madison","HUNTSVILLE HEALTH & REHABILITATION, LLC",771,NA,NA,NA
"159","AL","Madison","MADISON MANOR NURSING HOME",495,NA,NA,NA
"160","AL","Madison","REGENCY HEALTH CARE AND REHABILITATION CENTER",1107,NA,NA,NA
"161","AL","Madison","SIGNATURE HEALTHCARE OF WHITESBURG GARDENS",2612,NA,NA,NA
"162","AL","Madison","SOUTH HAMPTON NURSING & REHABILITATION CENTER",1155,NA,NA,NA
"163","AL","Madison","VALLEY VIEW HEALTH AND REHABILITATION, LLC",518,NA,NA,NA
"164","AL","Madison","WILLOWBROOKE CT SKILLED CARE CTR AT MAGNOLIA TRACE",806,NA,NA,NA
"165","AL","Madison","WINDSOR HOUSE",845,NA,NA,NA
"166","AL","Marengo","MARENGO NURSING HOME",937,NA,NA,NA
"167","AL","Marengo","WOODHAVEN MANOR NURSING HOME",601,NA,NA,NA
"168","AL","Marion","DIVERSICARE OF WINFIELD",1094,NA,NA,NA
"169","AL","Marion","MARION REGIONAL NURSING HOME",953,NA,NA,NA
"170","AL","Marion","SUNSET MANOR",469,NA,NA,NA
"171","AL","Marshall","ALBERTVILLE NURSING HOME",628,NA,NA,NA
"172","AL","Marshall","BARFIELD HEALTH CARE",584,NA,NA,NA
"173","AL","Marshall","DIVERSICARE OF ARAB",326,NA,NA,NA
"174","AL","Marshall","DIVERSICARE OF BOAZ",275,NA,NA,NA
"175","AL","Marshall","MARSHALL MANOR NURSING HOME",1001,NA,NA,NA
"176","AL","Mobile","ALLEN HEALTH AND REHABILITATION",2157,NA,NA,NA
"177","AL","Mobile","ASHLAND PLACE HEALTH AND REHABILITATION, LLC",2376,NA,NA,NA
"178","AL","Mobile","AZALEA GARDENS OF MOBILE",3700,NA,NA,NA
"179","AL","Mobile","CROWNE HEALTH CARE OF CITRONELLE",284,NA,NA,NA
"180","AL","Mobile","CROWNE HEALTH CARE OF MOBILE",1617,NA,NA,NA
"181","AL","Mobile","CROWNE HEALTH CARE OF SPRINGHILL",1115,NA,NA,NA
"182","AL","Mobile","GRAND BAY CONVALESCENT HOME, INC.",1137,NA,NA,NA
"183","AL","Mobile","GULF COAST HEALTH AND REHABILITATION, LLC",844,NA,NA,NA
"184","AL","Mobile","KENSINGTON HEALTH AND REHABILITATION",781,NA,NA,NA
"185","AL","Mobile","KNOLLWOOD HEALTHCARE",573,NA,NA,NA
"186","AL","Mobile","LITTLE SISTERS OF THE POOR SACRED HEART RESIDENCE",615,NA,NA,NA
"187","AL","Mobile","LYNWOOD NURSING HOME",1479,NA,NA,NA
"188","AL","Mobile","MOBILE NURSING AND REHABILITATION CENTER",1344,NA,NA,NA
"189","AL","Mobile","NORTH MOBILE NURSING AND REHABILITATION CTR",2040,NA,NA,NA
"190","AL","Mobile","PALM GARDENS HEALTH AND REHABILITATION, LLC",1087,NA,NA,NA
"191","AL","Mobile","SPRINGHILL MANOR NURSING HOME",919,NA,NA,NA
"192","AL","Mobile","SPRINGHILL SENIOR RESIDENCE",3608,NA,NA,NA
"193","AL","Mobile","TWIN OAKS REHABILITATION AND HEALTHCARE CENTER",1448,NA,NA,NA
"194","AL","Monroe","ENGLEWOOD HEALTH CARE CENTER",672,NA,NA,NA
"195","AL","Monroe","MONROE MANOR HEALTH & REHABILITATION CENTER",731,NA,NA,NA
"196","AL","Montgomery","CAPITOL HILL HEALTHCARE CENTER",3761,NA,NA,NA
"197","AL","Montgomery","CRIMSON HEALTH AND REHAB, LLC",2241,NA,NA,NA
"198","AL","Montgomery","CROWNE HEALTH CARE OF MONTGOMERY",2133,NA,NA,NA
"199","AL","Montgomery","DIVERSICARE OF MONTGOMERY",2389,NA,NA,NA
"200","AL","Montgomery","FATHER PURCELL MEMORIAL EXCEPTIONAL CHILDREN'S CTR",481,NA,NA,NA
"201","AL","Montgomery","HILLVIEW TERRACE",906,NA,NA,NA
"202","AL","Montgomery","JOHN KNOX MANOR INC  I I",2168,NA,NA,NA
"203","AL","Montgomery","LONGLEAF HEALTH AND REHAB, LLC",1020,NA,NA,NA
"204","AL","Montgomery","MONTGOMERY CHILDREN'S SPECIALTY CENTER",392,NA,NA,NA
"205","AL","Montgomery","MONTGOMERY HEALTH AND REHAB, LLC",1996,NA,NA,NA
"206","AL","Morgan","DECATUR HEALTH & REHAB CENTER",2136,NA,NA,NA
"207","AL","Morgan","FALKVILLE HEALTH CARE CENTER",1467,NA,NA,NA
"208","AL","Morgan","RIVER CITY CENTER",2219,NA,NA,NA
"209","AL","Morgan","SUMMERFORD HEALTH AND REHAB, LLC",1955,NA,NA,NA
"210","AL","Perry","PERRY COUNTY NURSING HOME",565,NA,NA,NA
"211","AL","Pickens","ALICEVILLE MANOR NURSING HOME",922,NA,NA,NA
"212","AL","Pickens","ARBOR WOODS HEALTH AND REHAB",1467,NA,NA,NA
"213","AL","Pike","TROY HEALTH & REHABILITATION CENTER",4372,NA,NA,NA
"214","AL","Randolph","ROANOKE REHABILITATION & HEALTHCARE CENTER",733,NA,NA,NA
"215","AL","Randolph","TRAYLOR RETIREMENT COMMUNITY",1835,NA,NA,NA
"216","AL","Russell","CANTERBURY HEALTH CARE FACILITY",1403,NA,NA,NA
"217","AL","Russell","PARKWOOD HEALTH CARE FACILITY",388,NA,NA,NA
"218","AL","Russell","PHENIX CITY HEALTH CARE, INC",799,NA,NA,NA
"219","AL","Shelby","AHAVA HEALTHCARE OF ALABASTER",2677,NA,NA,NA
"220","AL","Shelby","COLUMBIANA HEALTH AND REHABILITATION, LLC",669,NA,NA,NA
"221","AL","Shelby","SHELBY RIDGE NURSING HOME",605,NA,NA,NA
"222","AL","St. Clair","DIVERSICARE OF PELL CITY",1312,NA,NA,NA
"223","AL","St. Clair","HEALTH CARE INC",256,NA,NA,NA
"224","AL","St. Clair","MEADOWVIEW NURSING CENTER",437,NA,NA,NA
"225","AL","St. Clair","VILLAGE AT COOK SPRINGS SKILLED NURSING FACILITY",2584,NA,NA,NA
"226","AL","Sumter","SUMTER HEALTH AND REHABILITATION, L L C",1887,NA,NA,NA
"227","AL","Talladega","COOSA VALLEY HEALTHCARE CENTER",572,NA,NA,NA
"228","AL","Talladega","SYLACAUGA HEALTH AND REHAB SERVICES",952,NA,NA,NA
"229","AL","Talladega","TALLADEGA HEALTHCARE CENTER, INC",2251,NA,NA,NA
"230","AL","Tallapoosa","ADAMS NURSING HOME",824,NA,NA,NA
"231","AL","Tallapoosa","BROWN NURSING HOME",196,NA,NA,NA
"232","AL","Tallapoosa","CHAPMAN HEALTHCARE CENTER, INC",1730,NA,NA,NA
"233","AL","Tallapoosa","DADEVILLE HEALTHCARE CENTER",1062,NA,NA,NA
"234","AL","Tuscaloosa","ASPIRE PHYSICAL RECOVERY CENTER OF WEST ALABAMA",822,NA,NA,NA
"235","AL","Tuscaloosa","FOREST MANOR HEALTH AND REHAB",2147,NA,NA,NA
"236","AL","Tuscaloosa","GLEN HAVEN HEALTH AND REHABILITATION, LLC",1285,NA,NA,NA
"237","AL","Tuscaloosa","HERITAGE HEALTH CARE & REHAB INC",3646,NA,NA,NA
"238","AL","Tuscaloosa","HUNTER CREEK HEALTH AND REHABILITATION, LLC",447,NA,NA,NA
"239","AL","Tuscaloosa","PARK MANOR HEALTH AND REHABILITATION, LLC",1196,NA,NA,NA
"240","AL","Walker","CORDOVA HEALTH AND REHABILITATION, LLC",618,NA,NA,NA
"241","AL","Walker","RIDGEVIEW HEALTH SERVICES, INC",2117,NA,NA,NA
"242","AL","Walker","RIDGEWOOD HEALTH SERVICES, INC.",920,NA,NA,NA
"243","AL","Walker","SHADESCREST HEALTH CARE CENTER",1171,NA,NA,NA
"244","AL","Walker","WALKER REHABILITATION CENTER, INC",621,NA,NA,NA
"245","AL","Washington","WASHINGTON COUNTY NURSING HOME",503,NA,NA,NA
"246","AL","Wilcox","CAMDEN NURSING FACILITY INC.",1888,NA,NA,NA
"247","AL","Winston","HALEYVILLE HEALTH CARE CENTER",2090,NA,NA,NA
"248","AL","Winston","HENDRIX HEALTH AND REHABILITATION",696,NA,NA,NA
"249","AR","Arkansas","CRESTPARK DEWITT, LLC",1197,NA,NA,NA
"250","AR","Arkansas","CRESTPARK STUTTGART, LLC",1708,NA,NA,NA
"251","AR","Arkansas","DEWITT NURSING HOME",1257,NA,NA,NA
"252","AR","Ashley","SOMERSET SENIOR LIVING AT CROSSETT",1723,NA,NA,NA
"253","AR","Ashley","STONEGATE VILLA HEALTH AND REHABILITATION, LLC",871,NA,NA,NA
"254","AR","Baxter","CARE MANOR NURSING AND REHAB",1828,NA,NA,NA
"255","AR","Baxter","GASSVILLE THERAPY AND LIVING",1975,NA,NA,NA
"256","AR","Baxter","GOOD SAMARITAN SOCIETY - MOUNTAIN HOME",1430,NA,NA,NA
"257","AR","Baxter","HIRAM SHADDOX HEALTH AND REHAB",4030,NA,NA,NA
"258","AR","Benton","APPLE CREEK HEALTH AND REHAB, LLC",1153,NA,NA,NA
"259","AR","Benton","ASHLEY REHABILITATION AND HEALTH CARE CENTER",1564,NA,NA,NA
"260","AR","Benton","BRADFORD HOUSE NURSING AND REHAB, LLC",955,NA,NA,NA
"261","AR","Benton","CONCORDIA NURSING & REHAB, LLC",2566,NA,NA,NA
"262","AR","Benton","HIGHLAND HEALTHCARE AND REHABILITATION CENTER",2128,NA,NA,NA
"263","AR","Benton","INNISFREE HEALTH AND REHAB, LLC",1176,NA,NA,NA
"264","AR","Benton","JAMESTOWN NURSING AND REHAB, LLC",1174,NA,NA,NA
"265","AR","Benton","PROMENADE HEALTH AND REHABILITATION",1820,NA,NA,NA
"266","AR","Benton","ROGERS HEALTH AND REHABILITATION CENTER",3031,NA,NA,NA
"267","AR","Benton","SILOAM HEALTHCARE, LLC",1252,NA,NA,NA
"268","AR","Benton","THE WATERS OF ROGERS, LLC",848,NA,NA,NA
"269","AR","Boone","HILLCREST HOME",464,NA,NA,NA
"270","AR","Boone","SOMERSET SENIOR LIVING AT HARRISON",826,NA,NA,NA
"271","AR","Boone","SOMERSET SENIOR LIVING AT MOUNT VISTA",3488,NA,NA,NA
"272","AR","Bradley","CHAPEL WOODS HEALTH AND REHABILITATION",2910,NA,NA,NA
"273","AR","Carroll","BRIGHTON RIDGE",3094,NA,NA,NA
"274","AR","Chicot","DERMOTT CITY NURSING HOME",1317,NA,NA,NA
"275","AR","Chicot","LAKE VILLAGE REHABILITATION AND CARE CENTER",2492,NA,NA,NA
"276","AR","Clark","COURTYARD GARDENS HEALTH AND REHABILITATION CENTER",1012,NA,NA,NA
"277","AR","Clark","TWIN RIVERS HEALTH AND REHABILITATION",1583,NA,NA,NA
"278","AR","Clay","CORNING THERAPY AND LIVING CENTER",1326,NA,NA,NA
"279","AR","Clay","GENERAL BAPTIST NURSING HOME OF PIGGOTT",3214,NA,NA,NA
"280","AR","Clay","RECTOR NURSING AND REHAB",1405,NA,NA,NA
"281","AR","Cleburne","SOMERSET SENIOR LIVING AT SEVEN SPRINGS",1537,NA,NA,NA
"282","AR","Cleburne","SOUTHRIDGE VILLAGE NURSING AND REHAB",1953,NA,NA,NA
"283","AR","Cleveland","THE GREEN HOUSE COTTAGES OF SOUTHERN HILLS",278,NA,NA,NA
"284","AR","Columbia","MAGNOLIA HEALTHCARE LLC",3292,NA,NA,NA
"285","AR","Columbia","SUMMIT HEALTH & REHAB CENTER",1430,NA,NA,NA
"286","AR","Columbia","THE GREEN HOUSE COTTAGES OF WENTWORTH PLACE",1938,NA,NA,NA
"287","AR","Conway","BROOKRIDGE COVE REHABILITATION AND CARE  CENTER",2602,NA,NA,NA
"288","AR","Conway","RIVER CHASE REHABILITATION AND CARE CENTER",2003,NA,NA,NA
"289","AR","Craighead","CRAIGHEAD NURSING CENTER",2384,NA,NA,NA
"290","AR","Craighead","JONESBORO WELLNESS LLC",1997,NA,NA,NA
"291","AR","Craighead","LAKESIDE HEALTH AND REHAB",523,NA,NA,NA
"292","AR","Craighead","MONETTE MANOR LLC",840,NA,NA,NA
"293","AR","Craighead","RIDGECREST HEALTH AND REHABILITATION",1274,NA,NA,NA
"294","AR","Craighead","ST ELIZABETH'S PLACE",1466,NA,NA,NA
"295","AR","Crawford","ALMA HEALTHCARE AND REHABILITATION CENTER",989,NA,NA,NA
"296","AR","Crawford","CRAWFORD HEALTHCARE AND REHABILITATION CENTER",2043,NA,NA,NA
"297","AR","Crawford","VALLEY SPRINGS REHABILITATION AND HEALTH CENTER",740,NA,NA,NA
"298","AR","Crawford","VAN BUREN HEALTHCARE AND REHABILITATION CENTER",1791,NA,NA,NA
"299","AR","Crittenden","WEST MEMPHIS HEALTH AND REHAB",1412,NA,NA,NA
"300","AR","Crittenden","WEST MEMPHIS WELLNESS, LLC",2234,NA,NA,NA
"301","AR","Crittenden","WILLOWBEND HEALTHCARE AND REHABILITATION",629,NA,NA,NA
"302","AR","Cross","CRESTPARK WYNNE, LLC",2376,NA,NA,NA
"303","AR","Cross","RIVER RIDGE REHABILITATION AND CARE CENTER",2046,NA,NA,NA
"304","AR","Dallas","ST JOHNS PLACE OF ARKANSAS, LLC",3226,NA,NA,NA
"305","AR","Desha","SOMERSET SENIOR LIVING AT MCGEHEE",3445,NA,NA,NA
