incident_name,incident_is_final,incident_date_last_update,Month,Year,incident_counties,incident_county,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,State
306 Fire,TRUE,2013-05-05T18:00:00Z,5,2013,Glenn,Glenn,217,100,,CAL FIRE Tehama-Glenn Unit,-122.560862,39.514139,,5649e78d-7c26-4698-89a0-b0fa9a35cf78,https://www.fire.ca.gov/incidents/2013/5/1/306-fire/,2013-05-05T18:00:00Z,05/05/13,01/05/13,N,TRUE,FALSE,CA
Lytle Fire,TRUE,2013-05-15T08:15:00Z,5,2013,San Bernardino,San Bernardino,75,100,,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit, CAL FIRE, USFS, San Bernardino Co., San Bernardino City, Rialto, Rancho, Ontario, CHP, San Bernardino Sheriff's Office",-117.4408,34.1834,,e2c4b308-9a2d-483b-8434-999bef9adc7c,https://www.fire.ca.gov/incidents/2013/5/13/lytle-fire/,2013-05-15T08:15:00Z,15/05/13,13/05/13,N,TRUE,FALSE,CA
Gorgonio Fire,TRUE,2013-05-05T18:45:00Z,5,2013,Riverside,Riverside,510,100,,CAL FIRE/Riverside County Fire,-116.855019,33.894055,,958ce6d2-97f9-4848-8620-d14ab87f329d,https://www.fire.ca.gov/incidents/2013/5/4/gorgonio-fire/,2013-05-05T18:45:00Z,05/05/13,04/05/13,N,TRUE,FALSE,CA
Grand Fire,TRUE,2013-05-21T19:45:00Z,5,2013,"Kern, Ventura",Kern,4346,100,,"CAL FIRE / USFS Los Padres National Forest, CAL FIRE, USFS, KERN CO FD, VENTURA CO FD, KERN COUNTY SO, VENTURA CO SO, LA CO SO, LAFD, CALEMA, BLM, KERN CO RD DEPT., CHP, CALIFORNIA STATE PARKS",-118.9411,34.7861,,e0d038e9-0926-4c05-8317-ec7075a04b12,https://www.fire.ca.gov/incidents/2013/5/15/grand-fire/,2013-05-21T19:45:00Z,21/05/13,15/05/13,N,TRUE,FALSE,CA
54 Fire,TRUE,2013-05-17T08:30:00Z,5,2013,Riverside,Riverside,40,100,,CAL FIRE Riverside Unit,-116.161201,33.655638,,e215290f-d0b4-48fd-be32-f599959347b1,https://www.fire.ca.gov/incidents/2013/5/16/54-fire/,2013-05-17T08:30:00Z,17/05/13,16/05/13,N,TRUE,FALSE,CA
Lake Fire,TRUE,2013-05-18T19:00:00Z,5,2013,Los Angeles,Los Angeles,712,100,,CAL FIRE/Los Angeles County ,-118.610044,34.49149,,39af7eac-c188-411f-8c8a-d165c5fca4a9,https://www.fire.ca.gov/incidents/2013/5/17/lake-fire/,2013-05-18T19:00:00Z,18/05/13,17/05/13,N,TRUE,FALSE,CA
Lilly 2 Fire,TRUE,2013-05-20T19:10:00Z,5,2013,Madera,Madera,91,100,,CAL FIRE Madera-Mariposa-Merced Unit,-119.7917,37.1927,,2b765a08-c770-4b19-baa8-00dffe3fa838,https://www.fire.ca.gov/incidents/2013/5/19/lilly-2-fire/,2013-05-20T19:10:00Z,20/05/13,19/05/13,N,TRUE,FALSE,CA
Cottontail Fire,TRUE,2013-05-20T19:10:00Z,5,2013,San Luis Obispo,San Luis Obispo,35,100,,CAL FIRE San Luis Obispo Unit,-120.91375,35.49864,,f17c523c-bf01-4245-899b-7c2331096dae,https://www.fire.ca.gov/incidents/2013/5/20/cottontail-fire/,2013-05-20T19:10:00Z,20/05/13,20/05/13,N,TRUE,FALSE,CA
Cherry Fire,TRUE,2013-05-20T18:50:00Z,5,2013,Riverside,Riverside,25,100,,CAL FIRE Riverside Unit,-116.907213,33.96201,,a60e315c-23d5-4ba4-869c-5c1e22a25e7a,https://www.fire.ca.gov/incidents/2013/5/20/cherry-fire/,2013-05-20T18:50:00Z,20/05/13,20/05/13,N,TRUE,FALSE,CA
Water Fire,TRUE,2013-05-21T19:30:00Z,5,2013,Riverside,Riverside,90,100,,CAL FIRE/Riverside County Fire ,-116.6534,33.9582,,13850faa-5bab-4fd7-bac3-433ce9250c4d,https://www.fire.ca.gov/incidents/2013/5/21/water-fire/,2013-05-21T19:30:00Z,21/05/13,21/05/13,N,TRUE,FALSE,CA
Shelton Fire,TRUE,2013-05-30T13:25:00Z,5,2013,San Joaquin,San Joaquin,303,100,,CAL FIRE Tuolumne-Calaveras Unit ,-120.90325,38.04993,,0b51d59b-457d-4a62-b066-55c2b8d400e2,https://www.fire.ca.gov/incidents/2013/5/30/shelton-fire/,2013-05-30T13:25:00Z,30/05/13,30/05/13,N,TRUE,FALSE,CA
Border Fire,TRUE,2013-05-23T08:30:00Z,5,2013,San Diego,San Diego,100,100,,CAL FIRE San Diego Unit,-116.900368,32.564465,,e077e091-f890-477c-b948-eb23774b432e,https://www.fire.ca.gov/incidents/2013/5/22/border-fire/,2013-05-23T08:30:00Z,23/05/13,22/05/13,N,TRUE,FALSE,CA
San Felipe Fire,TRUE,2013-05-26T17:45:00Z,5,2013,San Diego,San Diego,2781,100,,"CAL FIRE San Diego Unit, CALFIRE, USFS, BLM, SAN DIEGO SHERIFF'S OFFICE, AMR, CAL EMA, SAN DIEGO CITY, LOCAL GOVERNMENT, SAN DIEGO FIRE AUTHORITY, RESERVATION, CCC",-116.52579,33.12111,,859479e3-918c-42c6-bb74-5fdc17930a16,https://www.fire.ca.gov/incidents/2013/5/23/san-felipe-fire/,2013-05-26T17:45:00Z,26/05/13,23/05/13,N,TRUE,FALSE,CA
Homestead Fire,TRUE,2013-05-25T18:45:00Z,5,2013,San Luis Obispo,San Luis Obispo,50,100,,CAL FIRE San Luis Obispo Unit,-120.6368,35.5123,,5b5ce06d-7ea9-4d28-b564-715fd0d04f3f,https://www.fire.ca.gov/incidents/2013/5/25/homestead-fire/,2013-05-25T18:45:00Z,25/05/13,25/05/13,N,TRUE,FALSE,CA
Smiley Fire,TRUE,2013-05-25T23:00:00Z,5,2013,Riverside,Riverside,124,100,,CAL FIRE/Riverside County Fire,-117.187934,33.963591,,9795afee-7e60-4ab3-b5c3-7df67f91c5f9,https://www.fire.ca.gov/incidents/2013/5/25/smiley-fire/,2013-05-25T23:00:00Z,25/05/13,25/05/13,N,TRUE,FALSE,CA
General Fire,TRUE,2013-05-31T06:15:00Z,5,2013,San Diego,San Diego,1271,100,,CAL FIRE San Diego Unit,-116.5209,33.04458,,07a5397c-a665-4f84-9a82-5f689cb2c8f3,https://www.fire.ca.gov/incidents/2013/5/26/general-fire/,2013-05-31T06:15:00Z,31/05/13,26/05/13,N,TRUE,FALSE,CA
White Fire,TRUE,2013-05-30T19:30:00Z,5,2013,Santa Barbara,Santa Barbara,1984,100,,USFS Los Padres National Forest,-119.82429,34.55048,,abc61995-8bea-4be1-aa49-ee378ab3baaa,https://www.fire.ca.gov/incidents/2013/5/27/white-fire/,2013-05-30T19:30:00Z,30/05/13,27/05/13,N,FALSE,FALSE,CA
Magic Fire,TRUE,2013-05-29T15:30:00Z,5,2013,Los Angeles,Los Angeles,149,100,,Los Angeles County Fire Department,-118.58688,34.419284,,794412f2-1ba2-4217-ac38-49272a96fb6f,https://www.fire.ca.gov/incidents/2013/5/28/magic-fire/,2013-05-29T15:30:00Z,29/05/13,28/05/13,N,TRUE,FALSE,CA
Olive Fire,TRUE,2013-05-29T10:30:00Z,5,2013,Santa Barbara,Santa Barbara,170,100,,Santa Barbara County Fire,-120.074655,34.611824,,cb5f34a0-177e-445d-9349-dd94063a01d0,https://www.fire.ca.gov/incidents/2013/5/28/olive-fire/,2013-05-29T10:30:00Z,29/05/13,28/05/13,N,TRUE,FALSE,CA
Branch Fire,TRUE,2013-06-03T18:30:00Z,6,2013,San Luis Obispo,San Luis Obispo,500,100,,Los Padres National Forest,-120.05131,35.15832,,213dc89e-9f29-4480-91a6-aec5fb694999,https://www.fire.ca.gov/incidents/2013/6/1/branch-fire/,2013-06-03T18:30:00Z,03/06/13,01/06/13,N,FALSE,FALSE,CA
Murphy Fire,TRUE,2013-06-02T16:55:00Z,6,2013,Tuolumne,Tuolumne,100,100,,CAL FIRE Tuolumne-Calaveras Unit,-120.33313,37.91529,,98bfbb7c-8446-4e2e-a268-7e961353723c,https://www.fire.ca.gov/incidents/2013/6/2/murphy-fire/,2013-06-02T16:55:00Z,02/06/13,02/06/13,N,TRUE,FALSE,CA
Lone Fire,TRUE,2013-06-03T20:00:00Z,6,2013,Butte,Butte,298,100,All road closures have been lifted.,"CAL FIRE Butte Unit, CAL FIRE, El Medio Fire, Chico Fire Dept, Oroville Fire Dept, Butte Co. Sheriff's Dept, Butte Co. Public Works, PG&E and CHP",-121.576804,39.434183,,1a5192f1-bc99-4130-8683-381e0534b76a,https://www.fire.ca.gov/incidents/2013/6/3/lone-fire/,2013-06-03T20:00:00Z,03/06/13,03/06/13,N,TRUE,FALSE,CA
Hathaway Fire,TRUE,2013-06-09T16:45:00Z,6,2013,Riverside,Riverside,0,100,,USFS San Bernardino National Forest,-116.84137,33.99647,,befb9d5c-c0ea-48b8-8589-2586be0275af,https://www.fire.ca.gov/incidents/2013/6/9/hathaway-fire/,2013-06-09T16:45:00Z,09/06/13,09/06/13,N,FALSE,FALSE,CA
Sonoma-Lake-Napa Unit Lightning Fires,TRUE,2013-06-14T15:45:00Z,6,2013,"Sonoma, Solano, Lake, Colusa",Sonoma,28,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.0437,38.4229,,5ce45b6c-81b5-422c-9078-8c68dd872c8a,https://www.fire.ca.gov/incidents/2013/6/10/sonoma-lake-napa-unit-lightning-fires/,2013-06-14T15:45:00Z,14/06/13,10/06/13,N,TRUE,FALSE,CA
152 Fire,TRUE,2013-06-05T08:30:00Z,6,2013,Merced,Merced,124,100,,CAL FIRE Madera-Mariposa-Merced Unit,-121.006939,37.03776,,f9e85371-fc46-4f54-822c-7dcdaadde551,https://www.fire.ca.gov/incidents/2013/6/4/152-fire/,2013-06-05T08:30:00Z,05/06/13,04/06/13,N,TRUE,FALSE,CA
Lake Fire,TRUE,2013-06-06T07:00:00Z,6,2013,Lake,Lake,30,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.703193,38.99233,,dcb21e64-9d38-47c2-848b-e8e0dea5c2de,https://www.fire.ca.gov/incidents/2013/6/5/lake-fire/,2013-06-06T07:00:00Z,06/06/13,05/06/13,N,TRUE,FALSE,CA
Powerhouse Fire,TRUE,2013-06-08T18:30:00Z,5,2013,Los Angeles,Los Angeles,30274,100,,USFS Angeles National Forest/Los Angeles County/CAL FIRE,-118.423176,34.585595,,bf37805e-1cc2-4208-9972-753e47874c87,https://www.fire.ca.gov/incidents/2013/5/30/powerhouse-fire/,2013-06-08T18:30:00Z,08/06/13,30/05/13,N,TRUE,FALSE,CA
Vasco Fire,TRUE,2013-06-08T13:25:00Z,6,2013,Alameda,Alameda,240,100,,CAL FIRE Santa Clara Unit,-121.737213,37.775057,,2ad509e4-99f1-4e1a-81eb-839f772f9c45,https://www.fire.ca.gov/incidents/2013/6/8/vasco-fire/,2013-06-08T13:25:00Z,08/06/13,08/06/13,N,TRUE,FALSE,CA
Viper Fire,TRUE,2013-06-08T19:00:00Z,6,2013,Riverside,Riverside,42,100,,CAL FIRE/Riverside County Fire,-117.1265,33.96936,,e9505435-e861-4f33-9069-b0040fb2a135,https://www.fire.ca.gov/incidents/2013/6/8/viper-fire/,2013-06-08T19:00:00Z,08/06/13,08/06/13,N,TRUE,FALSE,CA
Northern California Lightning Activity,TRUE,2013-06-14T16:30:00Z,6,2013,,,60,100,,California Northern Region,-121.5747,39.9845,,369e41d4-75a6-4be0-a38a-5f7450553631,https://www.fire.ca.gov/incidents/2013/6/10/northern-california-lightning-activity/,2013-06-14T16:30:00Z,14/06/13,10/06/13,N,TRUE,FALSE,CA
Roadrunner Fire,TRUE,2013-06-13T09:45:00Z,6,2013,Amador,Amador,96,100,,CAL FIRE Amador-El Dorado Unit,-120.966016,38.27783,,bf59bc5b-1398-4ae5-adef-6f61b9ee1b90,https://www.fire.ca.gov/incidents/2013/6/12/roadrunner-fire/,2013-06-13T09:45:00Z,13/06/13,12/06/13,N,TRUE,FALSE,CA
Revis Fire,TRUE,2013-06-14T16:30:00Z,6,2013,Madera,Madera,75,100,,CAL FIRE Madera-Mariposa-Merced Unit,-119.75636,37.169379,,7055a440-5d4c-4f58-bac9-2954ff6698a5,https://www.fire.ca.gov/incidents/2013/6/12/revis-fire/,2013-06-14T16:30:00Z,14/06/13,12/06/13,N,TRUE,FALSE,CA
Clinton Fire,TRUE,2013-06-13T21:30:00Z,6,2013,Fresno,Fresno,108,100,,CAL FIRE/Fresno County Fire,-119.628389,36.772425,,a2cfda2a-21c1-4e45-90b5-37d931b4a926,https://www.fire.ca.gov/incidents/2013/6/13/clinton-fire/,2013-06-13T21:30:00Z,13/06/13,13/06/13,N,TRUE,FALSE,CA
Carstens Fire,TRUE,2013-06-26T11:15:00Z,6,2013,Mariposa,Mariposa,1708,100,,"CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest , CAL FIRE, US Forest Service, California Highway Patrol, National Park Service, Mariposa County, Mariposa County Fire, Mariposa County Sheriff.",-119.91071,37.58202,,bb2eb175-43a3-4a5c-bff6-e3669e52c1d1,https://www.fire.ca.gov/incidents/2013/6/16/carstens-fire/,2013-06-26T11:15:00Z,26/06/13,16/06/13,N,TRUE,FALSE,CA
PFE Fire,TRUE,2013-06-13T14:15:00Z,6,2013,Placer,Placer,237,100,,CAL FIRE/Placer County Fire,-121.380862,38.729297,,fe47b1c2-b9c0-44be-8d10-f270056db35c,https://www.fire.ca.gov/incidents/2013/6/13/pfe-fire/,2013-06-13T14:15:00Z,13/06/13,13/06/13,N,TRUE,FALSE,CA
Michelle Fire,TRUE,2013-06-13T21:30:00Z,6,2013,Fresno,Fresno,35,100,,CAL FIRE/Fresno County Fire,-119.558244,36.763367,,953f17a1-2034-467b-b48c-28da1a9af60e,https://www.fire.ca.gov/incidents/2013/6/13/michelle-fire/,2013-06-13T21:30:00Z,13/06/13,13/06/13,N,TRUE,FALSE,CA
Palmyrita Fire,TRUE,2013-06-15T08:00:00Z,6,2013,Riverside,Riverside,40,100,,CAL FIRE/Riverside County Fire,-117.302057,34.001745,,2d1f0c40-92e7-4540-991b-d353ed68ec6c,https://www.fire.ca.gov/incidents/2013/6/14/palmyrita-fire/,2013-06-15T08:00:00Z,15/06/13,14/06/13,N,TRUE,FALSE,CA
Rolling Fire,TRUE,2013-06-18T19:30:00Z,6,2013,Madera,Madera,482,100,,CAL FIRE Madera-Mariposa-Merced Unit,-119.78106,37.015575,,05d0fed7-8502-4a6f-9c5c-b9cee0e75408,https://www.fire.ca.gov/incidents/2013/6/16/rolling-fire/,2013-06-18T19:30:00Z,18/06/13,16/06/13,N,TRUE,FALSE,CA
California Fire,TRUE,2013-06-18T22:30:00Z,6,2013,Solano,Solano,124,100,,CAL FIRE Sanoma-Lake-Napa Unit,-122.13802,38.08744,,2b403f03-fe84-450a-90b7-befb8acc7e70,https://www.fire.ca.gov/incidents/2013/6/18/california-fire/,2013-06-18T22:30:00Z,18/06/13,18/06/13,N,TRUE,FALSE,CA
Sierra Fire,TRUE,2013-06-19T08:45:00Z,6,2013,Fresno,Fresno,46,100,,CAL FIRE/Fresno County Fire,-119.463757,37.03087,,15e7e15d-f707-473e-b0f3-6534cfd845b7,https://www.fire.ca.gov/incidents/2013/6/17/sierra-fire/,2013-06-19T08:45:00Z,19/06/13,17/06/13,N,TRUE,FALSE,CA
George Fire,TRUE,2013-06-25T17:15:00Z,6,2013,Fresno,Fresno,150,100,,CAL FIRE/Fresno County Fire,-119.2248,36.7218,,23ec2f69-da30-4983-80c2-1f04bfea6f9a,https://www.fire.ca.gov/incidents/2013/6/25/george-fire/,2013-06-25T17:15:00Z,25/06/13,25/06/13,N,TRUE,FALSE,CA
Mount Fire,TRUE,2013-06-20T13:15:00Z,6,2013,Lake,Lake,25,100,,CAL FIRE Sanoma-Lake-Napa Unit,-122.81796,38.98058,,d489b45e-dcba-4eaa-8bb5-6a23255562da,https://www.fire.ca.gov/incidents/2013/6/20/mount-fire/,2013-06-20T13:15:00Z,20/06/13,20/06/13,N,TRUE,FALSE,CA
Mills Fire,TRUE,2013-07-01T06:00:00Z,6,2013,San Bernardino,San Bernardino,534,100,,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,-117.048397,34.071556,,6011819c-19ac-46c2-aa48-0ee8be0e48c0,https://www.fire.ca.gov/incidents/2013/6/28/mills-fire/,2013-07-01T06:00:00Z,01/07/13,28/06/13,N,TRUE,FALSE,CA
Concord Fire,TRUE,2013-07-01T18:30:00Z,7,2013,Contra Costa,Contra Costa,274,100,,CAL FIRE Santa Clara Unit,-121.74367,39.90465,,95399a9c-8b3e-4413-9f56-5ed57d3d81b3,https://www.fire.ca.gov/incidents/2013/7/1/concord-fire/,2013-07-01T18:30:00Z,01/07/13,01/07/13,N,TRUE,FALSE,CA
Freeman Fire,TRUE,2013-06-29T18:30:00Z,6,2013,Monterey,Monterey,105,100,,CAL FIRE San Benito-Monterey Unit ,-120.8973,36.1531,,58317b8d-7f4d-466f-b2c7-035c25fb00f0,https://www.fire.ca.gov/incidents/2013/6/29/freeman-fire/,2013-06-29T18:30:00Z,29/06/13,29/06/13,N,TRUE,FALSE,CA
Kirker Fire,TRUE,2013-07-01T18:40:00Z,7,2013,Contra Costa,Contra Costa,492,100,,CAL FIRE Santa Clara Unit,-121.91453,37.96866,,522114fe-ada8-49a9-9bb2-5891103ff0ca,https://www.fire.ca.gov/incidents/2013/7/1/kirker-fire/,2013-07-01T18:40:00Z,01/07/13,01/07/13,N,TRUE,FALSE,CA
Northern Region July Lightning,TRUE,2013-07-04T10:45:00Z,7,2013,,,754,100,,CAL FIRE Northern Region,-121.5747,39.9845,,42690ee2-a5ed-4320-9a55-d5ff3d1a80f5,https://www.fire.ca.gov/incidents/2013/7/2/northern-region-july-lightning/,2013-07-04T10:45:00Z,04/07/13,02/07/13,N,TRUE,FALSE,CA
Fox Fire (formally 3-7 Fire),TRUE,2013-07-05T18:30:00Z,7,2013,Modoc,Modoc,502,100,,CAL FIRE Lassen-Modoc Unit,-121.035,41.2415,,8b51033d-abc6-4ea4-8983-990ad4e1c45e,https://www.fire.ca.gov/incidents/2013/7/3/fox-fire-formally-3-7-fire/,2013-07-05T18:30:00Z,05/07/13,03/07/13,N,TRUE,FALSE,CA
Vina Fire,TRUE,2013-07-04T10:30:00Z,7,2013,Tehama,Tehama,200,100,,CAL FIRE Tehama-Glenn Unit,-122.079871,40.012398,,c94959d7-eb88-4724-8feb-ba0662afca10,https://www.fire.ca.gov/incidents/2013/7/4/vina-fire/,2013-07-04T10:30:00Z,04/07/13,04/07/13,N,TRUE,FALSE,CA
Grant Fire,TRUE,2013-07-04T11:30:00Z,7,2013,Alameda,Alameda,50,100,,CAL FIRE Santa Clara Unit,-121.5869,37.7393,,07fb8b11-f39b-4cd0-8a27-2d4fef7fe680,https://www.fire.ca.gov/incidents/2013/7/4/grant-fire/,2013-07-04T11:30:00Z,04/07/13,04/07/13,N,TRUE,FALSE,CA
Fallon Fire,TRUE,2013-07-06T14:30:00Z,7,2013,Alameda,Alameda,38,100,,CAL FIRE Santa Clara Unit / Alameda County Fire,-121.86216,37.74241,,4c04a4e5-f580-4e62-bb53-2575c72d29dc,https://www.fire.ca.gov/incidents/2013/7/6/fallon-fire/,2013-07-06T14:30:00Z,06/07/13,06/07/13,N,TRUE,FALSE,CA
Chariot Fire,TRUE,2013-07-15T06:15:00Z,7,2013,San Diego,San Diego,7055,100,,"CAL FIRE San Diego Unit / Cleveland National Forest, CAL FIRE, USFS Cleveland NF, CHP, San Diego County Fire Authority, San Diego County Sheriff, California State Parks",-116.47381,32.95435,,ee19b2ec-a96a-4738-994e-fb3ea016e053,https://www.fire.ca.gov/incidents/2013/7/6/chariot-fire/,2013-07-15T06:15:00Z,15/07/13,06/07/13,N,TRUE,FALSE,CA
Adelaida Fire,TRUE,2013-07-07T22:00:00Z,7,2013,San Luis Obispo,San Luis Obispo,85,100,,CAL FIRE San Luis Obispo,-120.83417,35.62743,,a97d2b3a-3a53-424f-852c-5f1b8d199cc3,https://www.fire.ca.gov/incidents/2013/7/7/adelaida-fire/,2013-07-07T22:00:00Z,07/07/13,07/07/13,N,TRUE,FALSE,CA
McGanney Fire,TRUE,2013-07-08T17:30:00Z,7,2013,Yuba,Yuba,73,100,,CAL FIRE Nevada-Placer-Yuba Unit,-121.31634,39.206,,397ed8e6-6088-4e03-9316-8f50c65a83be,https://www.fire.ca.gov/incidents/2013/7/8/mcganney-fire/,2013-07-08T17:30:00Z,08/07/13,08/07/13,N,TRUE,FALSE,CA
Fiddler Fire,TRUE,2013-07-09T15:00:00Z,7,2013,Shasta,Shasta,43,100,,CAL FIRE Shasta-Trinity Unit,-122.7338,40.373,,3f64fc8a-8870-4e64-b60a-3e13c8532acd,https://www.fire.ca.gov/incidents/2013/7/9/fiddler-fire/,2013-07-09T15:00:00Z,09/07/13,09/07/13,N,TRUE,FALSE,CA
Kyburz Fire,TRUE,2013-07-11T18:30:00Z,7,2013,El Dorado,El Dorado,572,100,,Eldorado National Forest,-120.298,38.774,,d778a3f0-2d23-43c1-b9bc-1ea33898fab2,https://www.fire.ca.gov/incidents/2013/7/8/kyburz-fire/,2013-07-11T18:30:00Z,11/07/13,08/07/13,N,FALSE,FALSE,CA
Uvas Fire,TRUE,2013-07-12T17:45:00Z,7,2013,Santa Clara,Santa Clara,50,100,,CAL FIRE Santa Clara Unit,-121.7804,37.1438,,e779a754-29fd-472f-8d29-46cfee32d3c2,https://www.fire.ca.gov/incidents/2013/7/12/uvas-fire/,2013-07-12T17:45:00Z,12/07/13,12/07/13,N,TRUE,FALSE,CA
Diablo Fire,TRUE,2013-07-13T21:45:00Z,7,2013,Stanislaus,Stanislaus,150,100,,CAL FIRE Santa Clara Unit,-121.1955,37.436,,873074c8-4b6d-417b-a78c-1d1430027805,https://www.fire.ca.gov/incidents/2013/7/12/diablo-fire/,2013-07-13T21:45:00Z,13/07/13,12/07/13,N,TRUE,FALSE,CA
Mountain Fire,TRUE,2013-07-30T18:00:00Z,7,2013,Riverside,Riverside,27531,100,,CAL FIRE Riverside Unit / San Bernardino National Forest,-116.72885,33.7095,,a3149fec-4d48-427c-8b2c-59e8b79d59db,https://www.fire.ca.gov/incidents/2013/7/15/mountain-fire/,2013-07-30T18:00:00Z,30/07/13,15/07/13,N,TRUE,FALSE,CA
Orleans Complex,TRUE,2013-08-03T15:00:00Z,8,2013,Humboldt,Humboldt,0,100,,Six Rivers National Forest,-123.376,41.333,,7d4f107b-66a9-43d2-819d-ec855c2947bf,https://www.fire.ca.gov/incidents/2013/8/3/orleans-complex/,2013-08-03T15:00:00Z,03/08/13,03/08/13,N,FALSE,FALSE,CA
Silverwood Fire,TRUE,2013-07-26T18:15:00Z,7,2013,San Bernardino,San Bernardino,75,100,,San Bernardino County Fire,-117.352,34.316,,ed51bbd2-6f8e-4f46-9073-3673a583fada,https://www.fire.ca.gov/incidents/2013/7/25/silverwood-fire/,2013-07-26T18:15:00Z,26/07/13,25/07/13,N,TRUE,FALSE,CA
Flume Fire,TRUE,2013-07-28T17:50:00Z,7,2013,San Diego,San Diego,25,100,,CAL FIRE San Diego Unit,-116.707335,32.612773,,c6cfeed9-55bb-4fdb-8a52-e4d947dba721,https://www.fire.ca.gov/incidents/2013/7/28/flume-fire/,2013-07-28T17:50:00Z,28/07/13,28/07/13,N,TRUE,FALSE,CA
